OC_omid,issn,EP_id,Publications_in_venue,Open Access
06101284358,"['2313-0679', '2313-0660']",490637,148,True
06101288226,['0323-7982'],448266,122,Uknown
06101291701,['2071-3797'],486934,12,Uknown
06101302731,"['1470-1138', '0263-5143']",446434,815,Uknown
06101304722,"['2052-6148', '0263-7189']",449260,533,Uknown
06101309209,"['1465-3303', '0816-4649']",438258,955,Uknown
06101322049,"['1569-9668', '0521-9744']",438318,853,Uknown
06101322349,['0522-8468'],502243,7,True
06101322367,['0524-4544'],493998,29,Uknown
061013294,"['1467-937X', '0034-6527']",343614,3438,Uknown
06101330308,"['2040-8064', '2040-8056']",491325,287,Uknown
06101339207,"['1775-4283', '1281-2463']",476337,410,Uknown
06101340458,['1865-5866'],487502,60,True
061013436,"['1935-1046', '0034-6543']",446479,3091,Uknown
06101344133,"['2161-4741', '1074-164X']",470364,80,Uknown
06101404420,"['2613-8751', '0378-7680']",472376,166,True
06101404545,"['2613-8794', '2613-8808']",499095,20,True
06101412167,['1949-9833'],476618,37,True
06101412243,['1950-5701'],490827,267,True
06101421179,['2174-0747'],488048,106,True
06101422100,"['2174-0690', '1132-9947']",485444,23,Uknown
06101422187,"['1888-0967', '2174-081X']",476357,56,Uknown
06101422214,"['1133-0104', '2174-0887']",472147,38,Uknown
06101422223,"['0213-2370', '2174-0917']",471167,72,Uknown
06101422244,"['2174-0925', '0214-3402']",493344,85,True
06101422258,"['2174-1611', '1578-3820']",498368,10,True
06101422313,"['2174-3347', '0211-6642']",482005,77,Uknown
06101484643,"['1637-5823', '2431-1472']",483340,40,True
06101490262,['2308-8850'],494595,1,Uknown
06101501198,"['1988-8325', '0569-9878']",479724,213,True
06101501229,"['1988-8333', '0210-847X']",481993,182,True
06101501288,"['1988-8368', '0018-2141']",441159,427,True
06101502533,"['2397-9704', '2397-9712']",494800,45,Uknown
06101515086,"['2374-5118', '2374-5126']",486387,360,Uknown
06101516474,"['2067-5860', '1224-032X']",482987,5,True
06101516479,"['1224-0869', '2065-9474']",494634,27,Uknown
06101516501,"['2393-3682', '1224-5704']",482988,9,Uknown
06101523351,"['1848-7971', '1846-5412']",485494,33,True
06101550570,['2070-5476'],498625,15,Uknown
06101571325,"['0076-8820', '2330-796X']",444848,249,Uknown
06101585260,"['2325-2324', '0362-5028']",483994,400,Uknown
06101602265,['1804-2724'],488695,47,Uknown
06101602415,"['1804-509X', '1804-5081']",485432,63,True
06101602448,"['1804-526X', '1805-8868']",484814,50,Uknown
0610160859,"['0393-2516', '1972-5558']",446660,276,Uknown
06101614718,"['2553-6087', '2496-4476']",490688,88,Uknown
06101614801,['2497-3610'],502036,2,True
06101628865,"['1337-8163', '2585-8459']",486991,1,True
06101628917,"['2585-8947', '2585-8955']",493615,27,True
06101628984,['2755-0923'],503325,2,True
06101643924,"['2254-9099', '1885-446X']",484913,119,True
06101644524,['2255-0461'],486633,61,True
06101644971,"['2254-9307', '1133-3634']",484031,109,Uknown
06101645046,"['2171-0147', '2254-9633']",485906,10,Uknown
06101645099,"['1697-0810', '2255-0771']",486222,8,Uknown
06101645150,"['2255-1271', '1578-908X']",490537,190,Uknown
06101645215,"['2232-9935', '2232-996X']",491618,11,True
06101646490,"['2238-2097', '0104-5962']",502823,14,True
06101656238,['2172-9077'],485762,88,True
06101679011,['2082-6931'],502617,7,Uknown
06101679015,['2082-7067'],500383,6,Uknown
06101679022,['2082-7539'],485234,9,True
06101679031,['2082-8322'],502079,9,Uknown
06101679037,['2082-8411'],485862,12,Uknown
06101679049,"['2082-8578', '2544-5219']",484873,16,Uknown
06101679080,"['2082-8799', '1899-1998']",484796,276,Uknown
06101679204,"['2082-9701', '2720-0078']",485412,127,Uknown
06101679223,"['2719-3276', '1896-656X']",497955,75,Uknown
06101679257,['2719-3454'],498683,41,True
06101680803,"['2295-3493', '2507-0363']",485655,27,Uknown
06101680853,['2295-5739'],444433,94,Uknown
06101691790,['2525-426X'],491683,40,True
06101691836,['2525-4715'],497528,69,True
06101691885,['2525-4863'],489279,464,True
06101705905,"['2392-1633', '2080-1807']",486151,41,True
06101705938,"['2392-1641', '2450-0097']",494074,99,True
06101705977,['2392-1943'],505358,30,Uknown
06101705983,['2392-2338'],486171,4,True
06101717166,['1759-0434'],489166,120,True
06101739516,['2602-2834'],493253,130,Uknown
06101739531,['0137-298X'],481869,9,True
06101739559,['0137-3285'],500274,19,Uknown
06101739562,"['2353-303X', '0137-3587']",499162,4,True
06101739592,"['2544-5812', '0137-4176']",485397,57,Uknown
06101739623,"['0137-4346', '2544-3135']",496806,126,Uknown
06101739640,['0137-4729'],502084,85,Uknown
06101742545,"['2084-1965', '2083-5205']",484825,271,True
06101743278,"['2353-7132', '2084-137X']",484774,6,Uknown
06101743284,['2084-1426'],484968,29,Uknown
06101743391,"['2084-2589', '0137-2904']",478910,21,Uknown
06101743397,"['2084-2627', '1731-7398']",486193,50,Uknown
06101743419,['2084-3364'],486041,82,True
06101743460,"['2084-3844', '2082-0984']",485105,38,True
06101743500,"['1895-6297', '2084-3879']",484152,56,Uknown
06101743524,"['2084-3909', '1897-3426']",486190,25,True
06101743529,"['1732-8705', '2084-3917']",486197,38,True
06101743542,"['1733-5760', '2084-3925']",486195,15,Uknown
06101743545,"['1897-3035', '2084-3933']",486110,35,Uknown
06101743561,"['1899-3028', '2084-3941']",483874,7,Uknown
06101743563,"['2084-395X', '1897-1962']",485869,61,Uknown
06101777061,"['0209-3324', '2450-1549']",499807,223,True
06101781886,"['2047-993X', '1750-2705']",477341,180,Uknown
06101786670,"['2657-4004', '0079-7138']",481799,25,True
06101786689,['2657-4047'],498942,42,True
06101786713,"['2657-4373', '1506-6541']",496673,19,True
06101786718,"['2657-4381', '2544-7238']",497799,47,True
06101786729,"['1641-3792', '2657-4837']",486827,7,True
06101786735,"['2657-487X', '2084-8099']",491011,21,True
06101786762,"['2657-506X', '1231-1960']",482999,27,Uknown
06101786775,"['2657-5213', '0137-1673']",483950,58,Uknown
06101786796,"['2657-5337', '0078-6500']",481795,8,Uknown
06101801125,['1309-4602'],497636,56,Uknown
06101816469,['2149-6544'],489971,63,Uknown
06101816576,['2149-7826'],491606,37,True
06101821149,['1300-6355'],483035,96,Uknown
06101821365,['1300-7319'],495181,67,Uknown
06101834636,"['2078-9912', '2518-1963']",494567,150,Uknown
061018380,"['0044-2216', '0925-4560', '1572-8587']",340784,1102,Uknown
06101840926,"['1846-8551', '2507-041X']",474903,55,Uknown
06101840971,"['1846-9213', '1846-8527']",484875,52,True
06101841078,"['1847-0459', '0584-9063']",489002,39,True
06101846543,['1306-6218'],503469,74,Uknown
061018476,['0925-5273'],441984,7374,Uknown
06101847781,"['1588-4309', '1585-079X']",483290,53,Uknown
06101847804,"['1588-2519', '1585-1923']",471871,299,Uknown
06101853399,"['1029-8649', '2045-4147']",445001,719,Uknown
06101858948,"['1894-1257', '1504-4556']",435962,211,True
06101861647,['2550-6587'],491109,20,True
06101862960,['1708-6310'],493248,393,True
06101869984,"['1989-9904', '0213-2338']",484452,186,True
06101870061,['1989-9947'],489112,366,True
06101870101,"['1989-9971', '1133-0473']",494160,125,True
06101871511,['2541-8823'],497628,5,Uknown
06101871517,['2541-884X'],491135,20,Uknown
06101871602,"['2541-9099', '2071-8160']",485973,938,True
0610196962,"['1868-9418', '1431-5041']",483173,27,Uknown
061019819,"['1535-1882', '0021-8715']",442382,2015,Uknown
0610199104,"['1479-5760', '1046-2937']",447443,868,Uknown
061019926,"['1945-2314', '0021-8723']",447601,2020,Uknown
061019963,"['0021-8758', '1469-5154']",442384,1006,Uknown
061019995,"['0021-8774', '1468-5922']",442388,1013,Uknown
061020044,"['0021-8782', '1469-7580']",340772,3598,Uknown
061021268,"['0002-9300', '2161-7953']",340509,5625,Uknown
06102138250,"['2045-9815', '2045-9807']",493666,122,Uknown
06102143422,['2737-6222'],503167,31,Uknown
06102143428,['2737-6230'],503168,30,Uknown
06102143536,['2737-9493'],500521,6,Uknown
06102143573,"['2738-1072', '2738-1064']",504200,21,True
06102143603,['1809-3507'],494154,16,Uknown
06102143664,"['1809-4031', '1809-4309']",496952,202,Uknown
06102145856,"['2073-7203', '2073-7211']",486952,71,Uknown
06102160927,"['1392-1258', '2424-6166']",498652,340,True
06102170466,['2566-4638'],498529,8,Uknown
06102170537,['2570-5857'],492981,59,Uknown
06102171770,['2013-6196'],485911,104,True
06102171827,['2013-6374'],485816,158,True
06102171883,['2013-6757'],486738,45,True
06102171932,['2013-8652'],493246,2,Uknown
06102172072,"['1667-4545', '1515-1867']",501960,70,True
06102181745,"['2520-2685', '2520-2677']",497834,77,True
06102181771,"['2520-2855', '2520-2863']",496981,55,Uknown
06102181853,"['2519-9986', '2520-3258']",496826,57,Uknown
06102181953,"['2392-8166', '2392-8174']",488339,5,True
06102181959,['2392-8441'],490639,19,True
06102181968,"['2392-9472', '2392-862X']",489940,2,True
06102181971,"['1454-864X', '2392-8956']",494249,38,Uknown
06102182000,"['2393-1078', '2393-0624']",486075,1,True
06102182033,['2393-1353'],488760,7,True
06102183443,['2444-569X'],490508,258,True
06102189760,"['2193-0066', '2193-0074']",503935,274,True
06102190904,['1124-1004'],486034,34,Uknown
06102192395,"['1972-523X', '1127-0195']",465839,26,Uknown
06102194170,['1983-9928'],478141,177,True
06102208635,"['1581-6311', '1854-6935']",468701,31,True
06102208735,['1855-0541'],487503,68,True
06102208780,"['1855-3303', '2335-4194']",490524,36,Uknown
06102208796,"['1855-363X', '1581-5374']",475408,304,Uknown
06102210916,"['2175-7976', '1414-722X']",496630,43,True
06102211098,"['2410-9274', '2410-0706']",486261,56,Uknown
0610222103,"['1364-8470', '1469-2910']",437860,620,Uknown
06102228607,['2451-7836'],494232,8,True
06102229878,['2380-4076'],499021,11,Uknown
06102237484,"['2719-3780', '1428-149X']",475791,9,True
06102237553,['1428-9512'],488932,47,True
06102237579,['1429-0618'],483170,7,Uknown
06102251533,"['2169-7132', '1526-1018']",442475,137,Uknown
06102253959,['2049-7547'],480650,80,Uknown
06102253989,"['2049-7555', '2049-7563']",485154,69,Uknown
06102254029,"['2049-7784', '1326-0111']",471683,560,True
06102263719,['2313-4569'],494060,85,Uknown
06102263773,['2313-4895'],491159,24,True
06102263938,['2313-5433'],485166,62,True
06102264962,"['2443-9991', '0213-7771']",485568,61,True
06102265042,"['2310-3507', '2523-6113']",504636,18,Uknown
06102265072,"['2517-9896', '2523-6687']",498398,12,True
06102278838,"['1389-224X', '1750-8622']",447598,643,Uknown
06102281902,"['2411-3204', '2413-7596']",486915,1,Uknown
06102281905,"['2413-7588', '2411-3239']",486918,4,Uknown
06102281922,"['2415-7198', '2411-345X']",501801,43,Uknown
06102289783,['2238-8052'],499096,4,True
06102289789,['2238-8060'],487096,10,True
06102289846,['2238-8346'],501829,18,True
06102294623,"['2618-8546', '2227-6874']",490904,4,Uknown
06102295903,['2545-384X'],496735,65,True
06102295947,"['2545-3971', '1429-2173']",485652,54,True
06102297497,['2064-9940'],487500,60,True
06102297517,['2065-0175'],480254,1,True
06102297520,['2065-0574'],503139,95,Uknown
06102297572,['2373-5929'],487134,23,True
06102298857,"['2411-1309', '2411-7447']",497626,6,Uknown
06102305089,"['1132-2373', '2255-5463']",447915,48,Uknown
06102305166,"['1134-2277', '2255-5838']",482903,1,Uknown
06102306217,"['0582-673X', '1849-0999']",482414,5,Uknown
06102306224,"['1849-1049', '0583-6255']",484500,2,Uknown
06102306227,['1849-1111'],496593,2,Uknown
06102306230,['1849-1162'],487234,141,Uknown
06102306358,"['1849-5206', '1849-3645']",485844,3,True
06102306463,"['1849-6547', '0553-6707']",482376,4,True
06102306468,['1849-661X'],494668,3,Uknown
061023187,"['1982-7849', '1415-6555']",473922,1263,True
06102322720,['1982-6486'],498986,157,True
06102324484,"['1331-8004', '1846-7520']",474343,86,True
06102338251,['2159-0303'],481288,70,True
06102354769,['2543-6430'],499939,17,Uknown
061023558,['0047-2727'],340670,4246,Uknown
061023640,"['0048-721X', '1096-1151']",446381,1339,Uknown
06102382077,"['2178-2466', '1676-8558']",494068,2,True
06102382148,['2178-2571'],503559,2,True
06102382151,"['2178-2679', '1809-0249']",499606,66,True
06102382195,"['2178-2822', '1677-2504']",485801,207,True
06102386852,['2014-3613'],487102,42,True
06102386998,['1769-7069'],473262,39,True
06102400077,['2682-972X'],502378,31,True
0610241949,"['1471-6917', '0955-2340']",443174,339,Uknown
0610242064,"['1477-4674', '0955-2359']",448356,565,Uknown
06102421717,"['1516-1692', '2448-3338']",499057,3,True
06102421734,['2448-3583'],491619,229,True
06102421796,['2448-3923'],496976,14,True
06102421808,['2448-3931'],489222,13,True
06102421874,"['1870-3925', '2448-4849']",493198,199,True
06102434478,"['2228-4745', '1736-6852']",486053,10,True
06102435336,['2228-0596'],483520,140,True
06102435361,['2228-0987'],471784,111,Uknown
06102435382,"['1736-8987', '2228-1339']",485747,93,True
06102435425,"['2228-2017', '2228-2009']",484808,42,True
06102435466,"['1406-3859', '2228-3897']",483137,17,Uknown
06102435512,"['1406-0701', '2228-4729']",468461,44,True
06102464239,['2334-4415'],483247,119,True
06102469160,"['1736-5899', '2228-110X']",486054,44,True
06102477252,['1733-8069'],485251,381,True
06102483619,['1980-0614'],502280,41,True
06102489129,"['2542-5277', '2542-5285']",496472,64,Uknown
06102489186,['2543-912X'],491676,181,True
06102489215,['2544-090X'],499188,5,True
061024933,"['1467-9752', '0309-8249']",340854,1708,Uknown
061024962,"['0309-8265', '1466-1845']",442994,1591,Uknown
061025030,"['2707-0085', '1560-4926']",498425,123,Uknown
061025103,"['1369-801X', '1469-929X']",442146,1053,Uknown
061025108,['1369-8478'],447885,2454,Uknown
061025111,['1369-8486'],421225,1168,Uknown
061025124,"['0003-5459', '2292-3586']",339753,655,Uknown
061025129,"['0007-6791', '1743-7938']",342362,1913,Uknown
061025163,"['2044-768X', '0007-6805']",438760,1713,Uknown
06102562366,['2413-4139'],497191,6,Uknown
06102562529,"['2411-5940', '2413-4465']",490861,64,True
06102563674,"['1794-7154', '2382-3240']",501720,114,True
06102563834,"['1125-3789', '2385-3042']",493859,96,True
06102613882,"['0717-3202', '0718-1795']",494211,148,Uknown
06102628882,['2049-1565'],484935,50,True
06102646741,['2059-2949'],504668,16,True
0610266208,['1746-6660'],470710,400,Uknown
0610278010,['0033-4987'],446258,317,Uknown
06102784010,"['2167-6984', '2167-6968']",489991,550,Uknown
061027992,"['1354-0688', '1460-3683']",342774,1350,Uknown
06102804069,['1519-5538'],472323,86,True
061028076,"['1461-7315', '1461-4448']",341593,2371,Uknown
061028110,"['1552-5481', '0192-513X']",442914,2510,Uknown
061028154,"['1552-6518', '0886-2605']",413929,5704,Uknown
06102818707,['2519-2590'],490674,15,Uknown
06102820846,['1504-9922'],471082,176,True
06102820925,['1505-2192'],476248,48,Uknown
06102827861,"['0123-885X', '1900-5180']",473941,649,True
06102828394,['0123-8884'],486542,9,True
06102845,"['0009-3920', '1467-8624']",439030,10119,Uknown
06102857775,"['0067-270X', '1945-5534']",438317,911,Uknown
06102865224,['2447-9543'],495300,58,True
06102865334,['2448-0320'],497328,7,True
06102865342,['2448-0460'],491542,11,True
06102866789,"['2321-7278', '2321-7286']",486350,1,Uknown
06102885059,"['2236-0859', '2177-0026']",496528,20,True
06102885104,['2236-0972'],485704,159,True
061029251,"['1078-0874', '1552-8332']",447975,1036,Uknown
061029331,"['1552-390X', '0013-9165']",343684,1832,Uknown
061029384,"['1552-3861', '0011-0000']",439542,2408,Uknown
061029433,"['0010-8367', '1460-3691']",341375,1042,Uknown
06103015605,['0145-2258'],437424,203,Uknown
0610302734,"['1572-3429', '1875-8185']",476487,206,Uknown
06103028434,['1542-4286'],439239,373,Uknown
06103043048,"['2677-4224', '1253-9708']",449281,62,Uknown
06103077261,"['0261-4448', '1475-3049']",444300,767,Uknown
0610308517,"['1876-3375', '1876-3367']",475499,142,Uknown
061031030,"['2104-371X', '0752-5443']",444246,39,True
06103150439,['1425-3534'],486895,27,Uknown
06103150448,"['1430-0532', '1613-415X']",444432,438,Uknown
06103185096,"['1878-1373', '1878-1527']",480947,106,Uknown
06103196085,['1757-9597'],484563,237,Uknown
06103234231,['2173-0687'],489110,75,True
06103234257,['2173-0695'],489031,35,True
06103234284,['2173-1276'],487721,28,True
06103234296,['2173-1950'],485918,30,Uknown
06103234321,"['2173-3511', '2173-6049']",500226,64,True
061032597,"['1532-2998', '1532-3005']",415406,1226,Uknown
061032772,"['1468-4381', '1050-3307']",340319,1638,Uknown
061032789,"['1468-2885', '1050-3293']",439285,779,Uknown
0610331497,"['2029-4913', '2029-4921']",484951,922,True
061034039,"['1527-5477', '0014-1801']",440365,1250,Uknown
061034095,"['0014-1836', '2156-7417']",440368,1058,Uknown
061034101,"['0014-1844', '1469-588X']",340512,1480,Uknown
061034121,"['0011-3204', '1537-5382']",418107,3849,Uknown
061034376,['1626-0252'],473542,1023,True
06103472726,"['1468-0122', '0264-3944']",445607,914,Uknown
06103492319,['1408-8363'],493451,3,True
06103492497,"['1589-3413', '2415-9883']",485925,29,True
06103514405,['0049-3155'],447393,15,Uknown
06103543057,"['2101-0056', '0014-2166']",444381,254,Uknown
06103544660,"['2184-0385', '0874-5560']",482587,54,True
06103551490,"['1759-8818', '1069-4404']",447044,739,Uknown
06103573949,['0435-5865'],483995,10,Uknown
06103574023,['0439-691X'],488598,1,True
06103744705,"['1567-9896', '1570-0593']",438076,97,Uknown
06103881542,"['1820-4589', '2812-9466']",503846,10,Uknown
061038822,"['1530-9282', '0024-094X']",342603,2719,Uknown
061038859,['0023-9690'],341979,548,Uknown
061038878,"['1744-8581', '0024-2160']",444403,1143,Uknown
06103891620,['2408-462X'],499534,11,True
06103892867,"['2521-599X', '2079-3634']",499607,1,True
06103894054,['2620-1755'],496401,2,True
061039583,"['1844-5292', '1018-0389']",503228,26,Uknown
061040148,"['0210-1874', '2254-8769']",471064,32,True
061040154,"['2585-7878', '1335-4205']",479800,1487,True
0610403869,['2523-4927'],494173,8,Uknown
061041534,"['0165-4004', '1614-7308']",440706,906,Uknown
061041751,"['1573-322X', '0893-4282', '1187-7863']",442358,1052,Uknown
061041757,"['1492-1413', '1188-7109']",485606,322,Uknown
0610429609,"['2118-4518', '1266-0078']",483022,158,Uknown
061043041,"['1846-9418', '1846-3312']",496491,35,True
061043106,"['2373-5112', '0043-7956']",448177,1189,Uknown
061043126,"['0043-8243', '1470-1375']",448182,1743,Uknown
061043164,"['0043-8871', '1086-3338']",448202,1780,Uknown
06104428,"['1756-3062', '1460-6925']",439837,927,Uknown
0610443025,"['1477-8351', '1745-5227']",483215,74,Uknown
061047642,"['2322-6889', '0122-8803']",489719,37,Uknown
061047646,"['1539-767X', '0031-8248']",445748,3272,Uknown
061051153,['0001-8791'],444095,2385,Uknown
061051229,"['1750-0184', '0001-9720']",342192,1669,Uknown
061051307,"['0001-9909', '1468-2621']",437421,2167,Uknown
061051385,"['1937-2108', '0001-9933']",437423,1539,Uknown
061051419,"['1469-2872', '0002-0184']",437437,1260,Uknown
0610518345,"['1469-9818', '1463-6204']",443774,472,Uknown
061052814,['1355-2198'],447266,1020,Uknown
061053939,"['1461-7250', '0022-0094']",442698,1681,Uknown
061054001,"['2162-6057', '0022-0175']",442720,1426,Uknown
061054047,"['1552-5422', '0022-0221']",342676,2480,Uknown
061058449,"['0075-4269', '2041-4099']",443037,2276,Uknown
061058474,"['0079-497X', '2050-2729']",446078,1347,Uknown
061058479,"['0090-4392', '1520-6629']",442645,2187,Uknown
0610585532,"['1533-1571', '1041-3200']",442436,923,Uknown
061062988,['1040-6182'],342715,8420,Uknown
061064077,"['0070-3370', '1533-7790']",341534,2215,Uknown
061064191,"['1573-1901', '0926-7220']",446779,1671,Uknown
061065210,"['0260-2105', '1469-9044']",343284,1466,Uknown
061065247,"['1027-3239', '2518-1203']",500257,325,Uknown
061065307,"['0315-9906', '1918-4778']",482157,119,Uknown
061065406,"['1573-1898', '0157-244X']",446435,1997,Uknown
061066610,['0304-422X'],445893,1457,Uknown
0610686470,['0093-4240'],499717,258,Uknown
0610723223,"['2738-263X', '2579-2938']",503021,7,True
0610723228,['2738-2656'],505006,24,True
0610723234,"['2738-2702', '2738-2710']",503982,11,True
0610723246,"['2738-2699', '2738-2826']",504562,22,Uknown
0610723280,"['2738-8107', '2738-8115']",503175,1,True
0610732875,['2055-5911'],483782,304,True
0610740654,"['1930-322X', '0277-3945']",446640,952,Uknown
0610747372,"['2325-7989', '2325-7962']",489350,167,Uknown
061075097,['1646-5954'],470681,123,True
061075149,"['1646-6020', '0870-8231']",482564,422,Uknown
061075252,['1646-6195'],487289,5,True
061075274,['1646-740X'],483896,152,True
061075302,['1646-7698'],504327,262,True
06107572,"['1527-1943', '0026-7929']",444897,1175,Uknown
06107706,"['1460-2482', '0031-2290']",445599,1767,Uknown
0610795902,"['1814-2036', '1025-6555']",482748,22,Uknown
0610826672,"['0137-2475', '2084-4158']",481868,81,True
0610826735,['2084-4409'],502549,21,Uknown
0610826742,['2084-4506'],488315,93,Uknown
0610847903,"['1995-4336', '1995-4328']",486933,59,True
0610850210,"['2050-070X', '2050-0718']",485808,65,Uknown
0610850233,"['2050-0726', '2050-0734']",481407,155,Uknown
0610851515,['1945-6182'],437422,187,Uknown
0610868666,['2364-1177'],488640,69,True
0610871217,['1448-7136'],470476,161,Uknown
0610916254,"['1943-2178', '0266-6286']",448176,661,Uknown
06109229,"['2159-9777', '0279-1072']",341269,1114,Uknown
06109350,"['1468-0114', '0279-0750']",445535,1077,Uknown
0610964051,['0027-0741'],444959,594,Uknown
0610967519,"['1470-1154', '1364-2529']",446464,751,Uknown
0610968765,['1916-1441'],480360,164,Uknown
0610968789,['1916-257X'],497301,65,True
0610974127,"['1622-468X', '1963-1022']",484484,354,True
0610977015,"['1467-9191', '0031-806X']",445727,313,Uknown
0610979690,['0001-6829'],341595,43,Uknown
061099128,"['2040-0594', '1741-1548']",450969,351,Uknown
061099200,"['1741-1920', '1741-1912']",440369,386,Uknown
061101008922,['1350-7532'],450925,38,Uknown
06110103081,"['1645-4537', '2397-5563']",474580,156,True
061101056683,"['0101-708X', '1984-8501']",488568,109,True
061101057339,"['1988-3056', '1137-0734']",472803,439,True
061101057779,"['1130-0531', '1988-2548']",472504,118,True
061101061501,"['0251-3420', '2305-2546']",488997,117,True
061101064404,['1307-6086'],498713,306,Uknown
061101069521,['0043-2520'],448115,3,Uknown
061101069524,"['0043-2539', '1570-0607']",439897,528,Uknown
061101069759,"['0043-2547', '2196-9019']",488034,166,Uknown
061101074325,['2667-4262'],498435,47,Uknown
061101144529,['2686-7249'],499264,11,Uknown
061101144536,"['2686-7281', '2686-729X']",497835,9,Uknown
061101170658,"['2308-3859', '2308-3867']",502091,110,True
061101182062,"['1473-2971', '2051-6231']",470606,148,Uknown
06110118312,"['0030-9230', '1477-674X']",445542,1002,Uknown
061101215844,['1308-5107'],494675,308,Uknown
061101217542,"['0741-0883', '1552-8472']",436523,695,Uknown
061101220107,"['1584-4927', '2285-5912']",497439,38,Uknown
061101220148,"['2285-6382', '2286-0290']",485349,54,Uknown
061101220172,"['2285-6773', '1453-5068']",499166,22,True
061101225951,"['1698-7799', '1698-7802']",474369,137,True
061101226737,['1698-6989'],483376,257,Uknown
061101226796,['1698-739X'],499138,11,True
061101226797,['1698-7454'],473984,77,True
061101233557,"['2105-2573', '0035-1423']",446589,715,Uknown
061101242035,"['0353-6483', '1855-8399']",483993,275,True
061101242896,"['1898-6447', '2545-3238']",496831,136,Uknown
061101245,"['0021-9266', '2157-6009']",442493,2219,Uknown
061101249354,"['0750-8069', '1638-1580']",441169,519,True
061101249479,"['1777-5892', '0751-2708']",484454,458,Uknown
061101267182,"['2451-2567', '1427-9657']",496392,43,True
061101267191,"['1644-8561', '2451-280X']",486449,240,True
061101276818,"['1045-1595', '2162-4070']",482765,773,Uknown
061101278059,"['1740-5904', '1740-5912']",439573,579,Uknown
061101278156,"['1751-7427', '1740-6315']",469883,273,Uknown
061101287653,['1730-0274'],485052,1,Uknown
061101288927,"['1479-0963', '1745-8218']",477651,83,Uknown
061101303896,"['2011-2106', '2145-9363']",490918,23,Uknown
061101306504,"['2559-5490', '1841-1940']",476204,8,True
061101306516,['1841-2394'],485038,38,Uknown
061101306527,"['2068-9667', '1841-2416']",503529,10,True
061101306659,['1841-5261'],485039,35,Uknown
061101306686,['1841-964X'],475936,95,True
061101312320,"['2657-8808', '2658-0810']",493685,55,True
061101312341,['2657-8964'],500433,7,True
061101312360,['2657-9510'],501825,5,Uknown
061101312370,['2657-9774'],499911,8,True
061101312375,"['2658-0349', '1509-877X']",497795,58,Uknown
061101312414,['2658-1248'],498019,1,Uknown
061101312417,"['2658-1264', '0066-6041']",481746,40,True
061101312421,['2658-1310'],486860,23,Uknown
061101331051,"['1940-4603', '1074-6846']",480904,137,Uknown
061101360096,['1947-9921'],441284,314,Uknown
061101390378,"['1654-4951', '1654-6369']",476496,199,True
061101417998,['2353-6098'],485928,12,Uknown
061101418002,['2353-6306'],486802,8,Uknown
061101418011,"['1230-5057', '2353-6403']",482995,35,Uknown
061101418099,['2353-6969'],485995,5,True
061101418105,['2353-7000'],485240,63,Uknown
061101418130,"['2353-7043', '1426-1898']",484078,87,True
061101418188,"['2300-9853', '2353-7086']",485030,52,True
061101418257,['1849-9066'],488271,3,Uknown
061101418261,['1849-921X'],503571,44,True
061101418326,"['1850-2563', '0524-9767']",489283,9,True
061101418330,"['1850-275X', '0327-3776']",472458,15,True
061101418341,['1850-3578'],502938,14,True
061101418373,"['1851-1716', '0327-5566']",474361,84,True
061101503706,"['1010-9161', '2409-5540']",468610,127,Uknown
061101503769,"['1011-0070', '1862-2585']",504495,608,Uknown
061101520732,['2532-6457'],498742,11,True
