EP_id,Publications_in_venue,Original Title,Country of Publication,ERIH PLUS Disciplines,disc_count
441277,1827,Human Resource Management,United States,Business and Management,1
430156,4838,Memory & Cognition,United States,Psychology,1
487475,1204,Criminology & Public Policy,United States,"Law, Sociology",2
436416,9110,Journal of Business Research,United States,"Business and Management, Economics",2
477041,5,PaleoAnthropology,United States,Anthropology,1
446349,1440,Reading Research Quarterly,United States,"Linguistics, Psychology, Pedagogical & Educational Research",3
499431,75,"Journal of Posthuman Studies Philosophy, Technology, Media",United States,"Anthropology, Gender Studies, Cultural Studies, Media Studies and Communication, Science and Technology Studies, Sociology, Literature, Philosophy, Religious Studies and Theology, Interdisciplinary research in the Social Sciences",10
447009,1226,Social psychology quarterly,United States,Psychology,1
446178,1788,Psychoanalytic inquiry,United States,Psychology,1
444055,1657,Journal of Urban Affairs,United States,"Sociology, Human Geography and Urban Studies",2
442801,1678,Journal of educational computing research,United States,Pedagogical & Educational Research,1
439480,1773,Contemporary Educational Psychology,United States,"Psychology, Pedagogical & Educational Research",2
441184,691,Historical Methods,United States,History,1
447246,13,Studies in American Fiction,United States,Literature,1
440819,252,Future of children,United States,Psychology,1
440819,331,Future of children,United States,Psychology,1
413067,862,Latin American Politics and Society,United States,"Political Sciences and International Relations, Human Geography and Urban Studies",2
421766,2170,Child Psychiatry and Human Development,United States,Psychology,1
418691,717,Review of General Psychology,United States,Psychology,1
478604,101,Environment and Society,United States,Environmental Studies,1
472883,102,Information Technologies & International Development,United States,"Business and Management, Economics, Interdisciplinary research in the Social Sciences, Library and Information Science",4
437543,421,American Catholic Philosophical Quarterly,United States,Philosophy,1
447561,3268,The Hastings center report,United States,Philosophy,1
447742,1098,Theory & Research in Social Education,United States,"History, Pedagogical & Educational Research",2
443599,1256,Journal of Product & Brand Management,United States,Interdisciplinary research in the Social Sciences,1
481448,101,"Economics, Management, and Financial Markets",United States,"Business and Management, Economics",2
341596,1000,Jewish Quarterly Review,United States,Religious Studies and Theology,1
341596,261,Jewish Quarterly Review,United States,Religious Studies and Theology,1
446095,3019,Professional Psychology: Research and Practice,United States,Psychology,1
446188,2759,Psychological Assessment,United States,Psychology,1
446179,1236,Psychoanalytic psychology,United States,Psychology,1
486205,281,Interdisciplinary Literary Studies A Journal of Criticism and Theory,United States,"Interdisciplinary research in the Humanities, Literature",2
418361,525,Human Rights Review,United States,Philosophy,1
447261,946,Studies in English Literature 1500-1900,United States,Literature,1
447261,334,Studies in English Literature 1500-1900,United States,Literature,1
471305,517,The B.E. Journal of Theoretical Economics,United States,Economics,1
486018,75,British Catholic History,United States,History,1
499377,119,Critical Times: Interventions in Global Critical Theory,United States,Interdisciplinary research in the Social Sciences,1
443888,351,Journal of The Audio Engineering Society,United States,Musicology,1
444997,1133,Music Perception,United States,"Musicology, Psychology",2
452037,1384,The Huntington Library Quarterly,United States,Literature,1
447131,2998,Speculum,United States,"History, Literature",2
448159,603,Women - A Cultural Review,United States,Gender Studies,1
438437,584,Biography,United States,Literature,1
438599,198,Book History,United States,"Literature, History",2
444214,191,Korean Studies,United States,"Cultural Studies, Linguistics, Literature, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",5
445924,1549,Political Theory,United States,Philosophy,1
342346,1703,Nationalities Papers,United States,History,1
444892,872,Modern China,United States,History,1
471783,4015,Behavior Research Methods,United States,Psychology,1
447720,1298,Theological Studies,United States,Religious Studies and Theology,1
442185,4349,Isis,United States,"History, History & Philosophy of Science",2
444999,735,Music Theory Spectrum,United States,Musicology,1
500456,316,The National Catholic Bioethics Quarterly,United States,"Philosophy, Religious Studies and Theology, Interdisciplinary research in the Social Sciences",3
444034,438,Journal of Transformative Education,United States,Pedagogical & Educational Research,1
447440,241,Texas Studies in Literature and Language,United States,Literature,1
499404,171,Annual Review of Linguistics,United States,Linguistics,1
444117,423,Journal of World History,United States,History,1
437111,5668,Academy of Management Journal,United States,Psychology,1
481749,102,Archives of Asian Art,United States,Art and Art History,1
417334,230,Arctic Anthropology,United States,Anthropology,1
447820,1077,Traditio,United States,"Literature, Religious Studies and Theology, History, Classical Studies",4
471660,272,Quantitative Marketing and Economics,United States,"Business and Management, Economics, Social Statistics and Informatics",3
483685,364,Journal of Information Policy,United States,"Cultural Studies, Media Studies and Communication, Science and Technology Studies",3
340441,8380,Journal of the American Academy of Child and Adolescent Psychiatry,United States,Psychology,1
477385,100,Contributions to the History of Concepts,United States,"History, Linguistics",2
443144,3200,Journal of Interdisciplinary History,United States,History,1
501944,24,"Journal of Bodies, Sexualities, and Masculinities",United States,"Gender Studies, Cultural Studies, Interdisciplinary research in the Social Sciences",3
442611,488,Journal of Clinical Psychiatry,United States,Psychology,1
442611,5277,Journal of Clinical Psychiatry,United States,Psychology,1
475975,577,Cornell Hospitality Quarterly: hospitality leadership through learning,United States,Business and Management,1
475476,284,International Journal of Cognitive Therapy,United States,Psychology,1
475476,139,International Journal of Cognitive Therapy,United States,Psychology,1
481579,467,Indonesia,United States,Anthropology,1
481579,63,Indonesia,United States,Anthropology,1
447289,4347,Substance Use & Misuse,United States,Psychology,1
443050,4564,Journal of Higher Education,United States,Pedagogical & Educational Research,1
489511,96,Epoché: A Journal for the History of Philosophy,United States,Philosophy,1
438759,1175,Business Ethics Quarterly,United States,"Business and Management, Interdisciplinary research in the Humanities, Philosophy",3
446248,856,Punishment & Society,United States,"Law, Sociology",2
474586,151,Semantics and Pragmatics,United States,Linguistics,1
451756,827,Christianity & Literature,United States,"Literature, Religious Studies and Theology",2
499912,42,Journal of Medieval Religious Cultures,United States,"Classical Studies, History, Cultural Studies, Literature, Religious Studies and Theology, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",7
477984,102,Journal of Modern Periodical Studies,United States,"History, Library and Information Science, Media Studies and Communication, Literature",4
444338,847,Law and History Review,United States,History,1
443359,2171,Journal of Motor Behavior,United States,Psychology,1
444303,450,Language Variation and Change,United States,Linguistics,1
445894,1206,Poetics Today,United States,Literature,1
441132,1386,Hesperia,United States,"History, Classical Studies, Archaeology",3
448183,1015,World Bank Economic Review,United States,Business and Management,1
422852,681,Environmental History,United States,History,1
443362,743,Journal of Multicultural Counseling and Development (JMCD),United States,Psychology,1
478703,1613,Academy of Management Perspectives,United States,Business and Management,1
440605,1357,Family & Community Health,United States,Psychology,1
443747,1808,Journal of Social Work Education,United States,Pedagogical & Educational Research,1
442629,196,Journal of Colonialism & Colonial History,United States,"History, Interdisciplinary research in the Humanities",2
500411,37,The Journal of Jewish Ethics,United States,"Cultural Studies, Economics, Political Sciences and International Relations, Sociology, Social Statistics and Informatics, Philosophy, Psychology, Religious Studies and Theology, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",10
443509,3674,Journal of Personality,"United Kingdom, United States",Psychology,1
503952,514,Advances in Life Course Research,United States,"Sociology, Pedagogical & Educational Research, Psychology, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",5
444946,156,Monatshefte,United States,"Literature, Pedagogical & Educational Research",2
484022,132,Etruscan Studies: Journal of the Etruscan Foundation,United States,"Classical Studies, History",2
444219,472,Kritika: Explorations in Russian and Eurasian History,United States,"History, Interdisciplinary research in the Humanities, Political Sciences and International Relations",3
442612,9933,Journal of Clinical Psychology,United States,Psychology,1
442636,3152,Journal of Communication,United States,"Interdisciplinary research in the Social Sciences, Linguistics, Media Studies and Communication",3
442987,3983,The Journal of general psychology,United States,Psychology,1
447612,3369,The Journal of Genetic Psychology,United States,Psychology,1
341380,5402,Developmental Dynamics,United States,Anthropology,1
471916,122,Philosophy and Theology,United States,"Philosophy, Religious Studies and Theology",2
446206,752,Psychology of men & masulinity,United States,History,1
468883,336,International Journal on Semantic Web and Information Systems (IJSWIS),United States,"Business and Management, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences, Library and Information Science, Linguistics, Pedagogical & Educational Research, Science and Technology Studies, Social Statistics and Informatics",8
340707,3872,Journal of Learning Disabilities,United States,"Pedagogical & Educational Research, Psychology",2
446142,194,Prooftexts: A Journal of Jewish Literary History,United States,Literature,1
443930,1258,Journal of the history of philosophy,United States,"Philosophy, History & Philosophy of Science",2
443916,4617,Journal of The Experimental Analysis of Behavior,United States,Psychology,1
443927,1785,Journal of the History of Ideas,United States,"History, Literature, History & Philosophy of Science",3
443927,665,Journal of the History of Ideas,United States,"History, Literature, History & Philosophy of Science",3
485570,711,Canadian Journal of Law and Society / La Revue Canadienne Droit et Société,United States,Law,1
442903,5000,Journal of Experimental Child Psychology,United States,Psychology,1
339791,2930,Journal of Experimental Education,United States,Pedagogical & Educational Research,1
445664,5050,Personality and Social Psychology Bulletin,United States,Psychology,1
440542,1014,Evolutionary Anthropology (print),United States,Anthropology,1
441214,781,The History of the Family,United States,History,1
477401,734,PoLAR: Political and Legal Anthropology Review,United States,Anthropology,1
447039,742,Sociological theory,United States,Sociology,1
437552,9963,American Historical Review,United States,History,1
438836,1425,Canadian Journal of Linguistics,United States,Linguistics,1
439327,1888,Comparative Studies in Society and History,United States,"Anthropology, History, Interdisciplinary research in the Social Sciences, Sociology",4
441201,1323,History and Theory,United States,"Philosophy, History",2
441203,1209,History of Education Quarterly,United States,Pedagogical & Educational Research,1
499471,104,Journal of the Pennsylvania Academy of Science,United States,Science and Technology Studies,1
477558,993,The B.E. Journal of Economic Analysis & Policy,United States,Economics,1
499569,44,The Journal of World Christianity,United States,"History, Religious Studies and Theology",2
446177,1838,Psychoanalytic dialogues,United States,Psychology,1
343253,13814,Biological Psychiatry,United States,Psychology,1
442972,2224,Journal of futures markets,United States,"Business and Management, Economics",2
442691,2593,Journal of Consumer Research,United States,Psychology,1
450965,38,The Journal of Film Music,United States,Musicology,1
443531,3712,Journal of Philosophy,United States,"Philosophy, History & Philosophy of Science",2
500581,71,Prism: Theory and Modern Chinese Literature,United States,Literature,1
343110,57919,Journal of the Acoustical Society of America,United States,"Linguistics, Musicology",2
441051,1369,Harvard Educational Review,United States,Pedagogical & Educational Research,1
445478,769,Organization & Environment,United States,"Business and Management, Environmental Studies",2
447517,603,Classical World,United States,Classical Studies,1
447517,169,Classical World,United States,Classical Studies,1
474480,300,Annual Review of Resource Economics,United States,"Business and Management, Economics, Environmental Studies",3
444799,427,Estudios Mexicanos,United States,"Cultural Studies, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",3
475794,448,Politics and Religion,United States,"Interdisciplinary research in the Social Sciences, Political Sciences and International Relations, Religious Studies and Theology",3
489742,110,Conflict and Society - Advances in Research,United States,"Anthropology, Political Sciences and International Relations, Sociology, Human Geography and Urban Studies, Interdisciplinary research in the Social Sciences",5
451858,95,Edith Wharton Review,United States,Literature,1
438414,1862,Biochemistry and Molecular Biology Education,United States,Pedagogical & Educational Research,1
443407,244,The Journal of Nietzsche Studies,United States,"History, History & Philosophy of Science, Political Sciences and International Relations, Sociology, Philosophy, Interdisciplinary research in the Social Sciences",6
447270,58,Studies in Latin American Popular Culture,United States,Literature,1
498384,33,Journal of Global Business Insights (JGBI),United States,"Business and Management, Interdisciplinary research in the Social Sciences",2
445741,682,Philosophy & Rhetoric,United States,"Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences, Philosophy",3
441061,1831,Harvard Theological Review,United States,Religious Studies and Theology,1
475460,26,Lutheran Quarterly,United States,Religious Studies and Theology,1
488794,66,Nouvelles Études Francophones,United States,Literature,1
340717,1592,Journal of the History of the Behavioral Sciences,United States,History & Philosophy of Science,1
443341,626,Journal of Modern Literature,United States,Literature,1
486048,256,Network Science,United States,Interdisciplinary research in the Social Sciences,1
446230,730,Public Performance and Management Review,United States,"Business and Management, Interdisciplinary research in the Social Sciences",2
441186,87,Historical Reflections,United States,History,1
441479,152,Illinois Classical Studies,United States,Classical Studies,1
442931,702,Journal of Financial Intermediation,United States,"Business and Management, Economics",2
437559,3167,American Journal of Archaeology,United States,"Archaeology, Classical Studies, History, Art and Art History",4
445284,1998,Notre Dame Journal of Formal Logic,United States,"History & Philosophy of Science, Philosophy",2
445286,1879,Noûs,United States,"History & Philosophy of Science, Philosophy",2
483922,57,Hiperboreea,United States,"Archaeology, Cultural Studies, Economics, History, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences, Political Sciences and International Relations, Religious Studies and Theology, Science and Technology Studies, Sociology",10
449225,1424,Entrepreneurship: Theory and Practice,United States,"Business and Management, Economics",2
444501,1423,Macroeconomic Dynamics,United States,Economics,1
441019,557,Group Dynamics,United States,Psychology,1
442984,584,Journal of General Education A Curricular Commons of the Humanities and Sciences,United States,"Pedagogical & Educational Research, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",3
447792,1061,Topics in Early Childhood Special Education,United States,Pedagogical & Educational Research,1
343467,1159,Journal of Adolescent Research,United States,Psychology,1
341274,4541,Brain and Language,United States,"Linguistics, Psychology",2
446507,1175,Reviews in Anthropology,United States,Anthropology,1
446398,264,"Renascence: Essays on Literature and Ethics, Spirituality, and Religion",United States,"Literature, Philosophy",2
441260,836,Human Biology: The Official Publication of the American Association of Anthropological Genetics,United States,Anthropology,1
340495,2546,International Journal of Psychology (IJP),United States,Psychology,1
451562,146,Dickens Studies Annual Essays on Victorian Fiction,United States,"History, Interdisciplinary research in the Humanities, Literature",3
441210,431,History of Psychology,United States,"History & Philosophy of Science, Psychology",2
445378,307,Oceanic Linguistics,United States,Linguistics,1
445378,252,Oceanic Linguistics,United States,Linguistics,1
447509,297,Catholic Historical Review,United States,"History, Religious Studies and Theology",2
447107,119,Southern Literary Journal,United States,Literature,1
445279,224,Notes,United States,Musicology,1
445279,563,Notes,United States,Musicology,1
446501,661,Review of Research in Education,United States,Pedagogical & Educational Research,1
504090,5,Journal of Sustainable Marketing,United States,"Business and Management, Environmental Studies",2
445736,668,Philosophical Topics,United States,Philosophy,1
477729,222,Annual Review of Financial Economics,United States,"Business and Management, Economics",2
477727,363,Annual Review of Economics,United States,"Business and Management, Economics",2
477589,1232,Perspectives on Psychological Science,"United Kingdom, United States",Psychology,1
441173,1194,Historia Mathematica,United States,History & Philosophy of Science,1
440622,136,Feminist Studies,United States,Gender Studies,1
440622,789,Feminist Studies,United States,Gender Studies,1
443371,942,The Journal of music therapy,United States,Musicology,1
443027,1811,Journal of Health and Social Behavior,United States,Sociology,1
446443,1969,Research on social work practice,United States,"Sociology, Psychology",2
442357,776,Journal of Agrarian Change,United States,History,1
451896,346,Genre: Forms of Discourse and Culture,United States,Literature,1
446678,94,Romance Notes,United States,Literature,1
444162,640,Kennedy Institute of Ethics Journal,United States,Philosophy,1
444317,230,Late Imperial China,United States,History,1
443337,360,Journal of Modern Greek Studies,United States,"Literature, History",2
447247,374,Studies in American political development,United States,"History, Political Sciences and International Relations",2
444436,1004,Linguistics and Education,United States,Linguistics,1
440089,1260,Educational Evaluation and Policy Analysis,United States,Pedagogical & Educational Research,1
340341,1893,Political Psychology,United States,Psychology,1
500414,103,The Journal of Assessment and Institutional Effectiveness,United States,"Pedagogical & Educational Research, Philosophy, Psychology, Interdisciplinary research in the Social Sciences",4
442413,1817,Journal of Applied Developmental Psychology,United States,Psychology,1
440048,1754,Econometric Theory,United States,Economics,1
442674,895,Journal of Computer-Mediated Communication,United States,"Interdisciplinary research in the Social Sciences, Media Studies and Communication",2
443673,4,Journal of Religion and Film,United States,Religious Studies and Theology,1
449240,533,Journal of Business Logistics,United States,Business and Management,1
441727,1097,International Interactions,United States,Political Sciences and International Relations,1
488847,39,Transcultural Studies: A Journal in Interdisciplinary Research,United States,"Art and Art History, Cultural Studies, Film and Theatre Studies, Interdisciplinary research in the Social Sciences, Literature",5
442766,507,Journal of Early Childhood Literacy,United States,Pedagogical & Educational Research,1
442908,4068,Journal of Experimental Social Psychology,United States,Psychology,1
339958,5945,Journal of Finance,United States,"Business and Management, Economics",2
442930,2720,Journal of Financial and Quantitative Analysis,United States,Economics,1
472787,191,Heritage Language Journal,United States,Linguistics,1
341164,1029,Security Dialogue,United States,Political Sciences and International Relations,1
343280,618,"The Journal of Arts Management, Law, and Society",United States,Art and Art History,1
436468,1,Anthropology of East Europe Review,United States,Anthropology,1
442922,1929,Journal of Family Violence,United States,Psychology,1
446679,507,Romance Quarterly,United States,Literature,1
440109,1925,Educational Theory,United States,Pedagogical & Educational Research,1
445031,316,Narrative,United States,Literature,1
481905,5,Annals of the History of Computing,United States,History & Philosophy of Science,1
440096,1091,Educational Psychologist,United States,"Psychology, Pedagogical & Educational Research",2
440663,1578,Financial Management,United States,Business and Management,1
477356,1293,The Journal of Environmental Education,United States,Pedagogical & Educational Research,1
500403,111,Philosophia Africana Analysis of Philosophy and Issues in Africa and the Black Diaspora,United States,"Anthropology, Archaeology, Art and Art History, History, Cultural Studies, Demography, Human Geography and Urban Studies, Philosophy, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",10
444998,572,Music Theory Online,United States,Musicology,1
342131,1072,Military Psychology,United States,Psychology,1
445116,2781,Neural Computation,United States,Psychology,1
447703,101,The Volta Review,United States,Pedagogical & Educational Research,1
342571,2462,International Organization,United States,Political Sciences and International Relations,1
442925,299,Journal of Feminist Studies in Religion,United States,"Gender Studies, Religious Studies and Theology",2
343250,706,Anthropological Quarterly,United States,Anthropology,1
343250,649,Anthropological Quarterly,United States,Anthropology,1
444323,238,Latin American Music Review,United States,Musicology,1
441020,1212,Group Processes & Intergroup Relations,United States,Psychology,1
441084,3412,Health Psychology,United States,Psychology,1
440206,2114,Emotion,United States,Psychology,1
340134,2246,Neuropsychology,United States,Psychology,1
437574,1172,American Journal of Evaluation (AJE),United States,"Pedagogical & Educational Research, Psychology",2
441239,4737,Hormones and Behavior,United States,Psychology,1
441263,4163,Human Factors,United States,Psychology,1
445744,619,Philosophy and Literature,United States,"Literature, Philosophy",2
445750,591,"Philosophy, Psychiatry, and Psychology",United States,Philosophy,1
482595,878,Performance Improvement Quarterly,United States,Pedagogical & Educational Research,1
502404,26,liquid blackness: journal of aesthetics and black studies,United States,"Cultural Studies, Interdisciplinary research in the Humanities",2
499757,77,Journal of Hate Studies,United States,"Anthropology, History, Economics, Law, Political Sciences and International Relations, Sociology, Literature, Psychology, Religious Studies and Theology",9
439549,1430,Creativity Research Journal,United States,Psychology,1
470822,403,Journal of Middle East Women's Studies,United States,"Anthropology, Art and Art History, Classical Studies, Economics, Film and Theatre Studies, Gender Studies, History, History & Philosophy of Science, Human Geography and Urban Studies, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences, Literature, Media Studies and Communication, Musicology, Philosophy, Political Sciences and International Relations, Psychology, Religious Studies and Theology, Sociology",19
440099,983,Educational Psychology Review,United States,"Pedagogical & Educational Research, Psychology",2
446917,406,Shofar: An Interdisciplinary Journal of Jewish Studies,United States,"Art and Art History, Gender Studies, History, Cultural Studies, Media Studies and Communication, Film and Theatre Studies, Literature, Musicology, Philosophy, Religious Studies and Theology, Interdisciplinary research in the Humanities",11
446917,32,Shofar: An Interdisciplinary Journal of Jewish Studies,United States,"Art and Art History, Gender Studies, History, Cultural Studies, Media Studies and Communication, Film and Theatre Studies, Literature, Musicology, Philosophy, Religious Studies and Theology, Interdisciplinary research in the Humanities",11
436120,304,New Hibernia Review,United States,"Cultural Studies, Interdisciplinary research in the Humanities, Literature",3
438351,3403,Behavior Therapy,United States,Psychology,1
439122,318,CLCWeb: Comparative Literature and Culture,United States,"Art and Art History, Classical Studies, Cultural Studies, Environmental Studies, Film and Theatre Studies, Gender Studies, History, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences, Linguistics, Literature, Media Studies and Communication, Pedagogical & Educational Research, Philosophy, Political Sciences and International Relations, Psychology, Sociology",17
340492,1,Journal of Sport History,United States,History,1
340492,55,Journal of Sport History,United States,History,1
442807,1215,Journal of Educational Technology Systems,United States,Pedagogical & Educational Research,1
434430,4264,Journal of Human Evolution,United States,"Archaeology, Anthropology",2
340107,5242,Sex Roles,United States,"Psychology, Gender Studies",2
441055,622,Harvard Journal of Asiatic Studies,United States,"Art and Art History, History, Literature, Religious Studies and Theology",4
441055,73,Harvard Journal of Asiatic Studies,United States,"Art and Art History, History, Literature, Religious Studies and Theology",4
441060,620,Harvard Studies in Classical Philology,United States,"Classical Studies, Linguistics, Literature",3
342925,1858,International Journal of Middle East Studies,United States,History,1
444339,1678,Law and Human Behavior,United States,Psychology,1
341811,2002,Multivariate Behavioral Research,United States,Psychology,1
447684,1069,The Sport Psychologist,United States,Psychology,1
442521,1447,Journal of business and psychology,United States,"Business and Management, Psychology",2
443290,1970,Journal of Mathematical Psychology,United States,Psychology,1
439315,532,Comparative drama,United States,"Film and Theatre Studies, Literature",2
447930,28,Tulsa Studies in Women's Literature,United States,"Gender Studies, Literature",2
447930,231,Tulsa Studies in Women's Literature,United States,"Gender Studies, Literature",2
451349,178,Pacific Coast Philology,United States,"Cultural Studies, Linguistics, Literature",3
342185,1500,International Journal of Behavioral Medicine,United States,Psychology,1
447206,1256,Structural Equation Modeling,United States,Psychology,1
340523,5798,American Sociological Review,United States,"Sociology, Interdisciplinary research in the Social Sciences, Social Statistics and Informatics",3
447369,3,TESL-EJ,United States,"Linguistics, Pedagogical & Educational Research",2
447465,731,American Journal of Distance Education,United States,Pedagogical & Educational Research,1
469817,509,Philosophical Perspectives,United States,Philosophy,1
486391,101,Psychosociological Issues in Human Resource Management,United States,"Business and Management, Economics, Psychology, Sociology",4
446701,654,Russian Education & Society,United States,Pedagogical & Educational Research,1
490417,17,International Journal of Philosophical Practice,United States,"Pedagogical & Educational Research, Philosophy",2
