EP_id,Publications_in_venue,Original Title,Country of Publication,ERIH PLUS Disciplines,disc_count
497755,274,Sexual and Reproductive Health Matters (SRHM),United Kingdom,Anthropology,1
342189,382,Public Archaeology,United Kingdom,Archaeology,1
504677,17,Tilburg Law Review,United Kingdom,"Law, Pedagogical & Educational Research",2
476417,900,Agenda: Empowering Women For Gender Equity,"United Kingdom, South Africa",Gender Studies,1
500652,3,International Journal of Religion,United Kingdom,"Anthropology, Cultural Studies, Political Sciences and International Relations, Sociology, Human Geography and Urban Studies, Philosophy, Religious Studies and Theology, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",9
490894,23,Remittances Review,United Kingdom,"Business and Management, Demography, Economics, Political Sciences and International Relations, Sociology, Social Statistics and Informatics, Human Geography and Urban Studies, Interdisciplinary research in the Social Sciences",8
440506,1296,European Review of Agricultural Economics,United Kingdom,Economics,1
441562,1459,Industrial and Corporate Change,United Kingdom,"Business and Management, Economics",2
468583,878,Journal of Research in Childhood Education,United Kingdom,Pedagogical & Educational Research,1
341868,545,Asian Philosophy,United Kingdom,Philosophy,1
339943,2447,Psychology and Health,"Switzerland, United Kingdom",Psychology,1
469991,1129,"Population, Space and Place",United Kingdom,"Demography, Human Geography and Urban Studies",2
439148,1473,Clinical Child Psychology and Psychiatry,United Kingdom,Psychology,1
490892,39,Göç Dergisi,United Kingdom,"Anthropology, History, Cultural Studies, Demography, Economics, Political Sciences and International Relations, Sociology, Social Statistics and Informatics, Human Geography and Urban Studies, Linguistics, Psychology, Interdisciplinary research in the Social Sciences",12
486030,301,Journal of the American Philosophical Association,United Kingdom,Philosophy,1
442959,1013,Journal of Forensic Psychiatry & Psychology,United Kingdom,Psychology,1
484905,43,"Journal of Language, Literature and Culture",United Kingdom,"Cultural Studies, Linguistics, Literature",3
484357,679,Anatolian Studies,United Kingdom,"Archaeology, History",2
451026,416,Film-Philosophy,United Kingdom,"Cultural Studies, Film and Theatre Studies, Media Studies and Communication, Philosophy",4
446411,1255,Reproductive Health Matters: An international journal on sexual and reproductive health and rights,United Kingdom,Gender Studies,1
446488,1199,Review of International Political Economy,United Kingdom,"Business and Management, Economics, Political Sciences and International Relations",3
444565,1537,Mariner's Mirror,United Kingdom,History,1
445051,585,Natural Language Engineering,United Kingdom,Linguistics,1
479641,1192,Israel Law Review,United Kingdom,Law,1
476656,468,Research Studies in Music Education,United Kingdom,Musicology,1
343651,2084,Development and Change,United Kingdom,"Business and Management, Political Sciences and International Relations",2
443965,8650,Journal of the Operational Research Society,United Kingdom,"Library and Information Science, Business and Management",2
469923,386,International Journal for the Study of the Christian Church,United Kingdom,Religious Studies and Theology,1
441187,1479,Historical Research,United Kingdom,History,1
446818,1287,Scottish journal of theology,United Kingdom,Religious Studies and Theology,1
425414,2025,Journal of European Public Policy,United Kingdom,Political Sciences and International Relations,1
481017,514,International Journal of Developmental Disabilities (IJDD),United Kingdom,Pedagogical & Educational Research,1
441994,806,International Journal of Public Opinion Research,United Kingdom,"Media Studies and Communication, Political Sciences and International Relations",2
429963,1616,Clinical Psychology and Psychotherapy,United Kingdom,Psychology,1
447113,485,Space & Polity,United Kingdom,"Political Sciences and International Relations, Interdisciplinary research in the Social Sciences",2
476497,316,International Theory,United Kingdom,Political Sciences and International Relations,1
422109,824,"Pedagogy, Culture & Society",United Kingdom,Pedagogical & Educational Research,1
342604,686,Management Accounting Research,United Kingdom,Business and Management,1
447946,156,Tyndale Bulletin,United Kingdom,"History, Religious Studies and Theology",2
471094,391,Strategic Entrepreneurship Journal,United Kingdom,Business and Management,1
499454,135,Buildings & Cities,United Kingdom,"Environmental Studies, Human Geography and Urban Studies",2
502122,55,Revista de Economía Aplicada,United Kingdom,"Business and Management, Economics",2
340258,206,Cahiers Élisabéthains: A Journal of English Renaissance Studies,United Kingdom,Literature,1
445728,627,Philosophical Investigations,United Kingdom,Philosophy,1
482436,321,War & Society,United Kingdom,History,1
340125,5046,AIDS Care,United Kingdom,Psychology,1
440843,1411,Gender and Education,United Kingdom,"Psychology, Gender Studies, Pedagogical & Educational Research",3
413958,1168,"Sport, Education and Society",United Kingdom,Pedagogical & Educational Research,1
441690,928,Intercultural Education,United Kingdom,Pedagogical & Educational Research,1
451143,327,Journal of Beckett Studies,United Kingdom,Literature,1
478831,326,Dutch Crossing: Journal of Low Countries Studies,United Kingdom,"Art and Art History, Linguistics, Literature, History",4
424232,960,Children's Geographies,United Kingdom,"Sociology, Psychology",2
449324,697,Modern Intellectual History,United Kingdom,History,1
475158,947,International Journal of Speech-Language Pathology,United Kingdom,Linguistics,1
443719,565,Journal of Semantics,United Kingdom,"Philosophy, Linguistics",2
442795,1586,Journal of Education Policy,United Kingdom,Pedagogical & Educational Research,1
443128,968,Journal of Intellectual & Developmental Disability,United Kingdom,"Psychology, Pedagogical & Educational Research",2
488331,879,Social Media + Society,United Kingdom,"Gender Studies, Cultural Studies, Media Studies and Communication, Political Sciences and International Relations, Linguistics, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",7
447630,2065,The Monist,United Kingdom,Philosophy,1
503936,4,Journal of African films and Diaspora Studies (JAFDIS),United Kingdom,"Art and Art History, Media Studies and Communication, Film and Theatre Studies",3
498968,26,Open Screens,United Kingdom,Film and Theatre Studies,1
503937,9,Journal of Nation-building & Policy studies,United Kingdom,"Political Sciences and International Relations, Interdisciplinary research in the Humanities",2
443130,3729,Journal of Intellectual Disability Research,United Kingdom,"Psychology, Pedagogical & Educational Research",2
439331,568,Competition & Change,United Kingdom,"Business and Management, Economics, Political Sciences and International Relations",3
503361,50,Orbit: A Journal of American Literature,,Literature,1
493604,138,Journal of Gender-Based Violence,United Kingdom,"Gender Studies, Sociology, Interdisciplinary research in the Social Sciences",3
470539,622,Regulation & Governance,United Kingdom,"Law, Political Sciences and International Relations",2
478777,161,Anthropology of the Middle East,United Kingdom,"Anthropology, Cultural Studies",2
486911,130,Journal of Popular Television,United Kingdom,"Cultural Studies, Film and Theatre Studies, Media Studies and Communication",3
485806,121,Drama Therapy Review (DTR),United Kingdom,"Film and Theatre Studies, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",3
443737,2397,Journal of Social and Personal Relationships,United Kingdom,Psychology,1
446695,372,Rural History,United Kingdom,History,1
475652,843,Professional Development in Education,United Kingdom,Pedagogical & Educational Research,1
341855,2055,"Environment & Planning. D, Society and Space",United Kingdom,"Gender Studies, Art and Art History",2
441986,2568,International Journal of Project Management,United Kingdom,Business and Management,1
489578,185,"Journal of Criminological Research, Policy and Practice",United Kingdom,"Psychology, Interdisciplinary research in the Social Sciences",2
489481,196,Advances in Autism (AIA),United Kingdom,"Pedagogical & Educational Research, Psychology, Interdisciplinary research in the Social Sciences",3
440363,857,Ethnicities,United Kingdom,"Art and Art History, Cultural Studies, Interdisciplinary research in the Humanities",3
447459,2278,The American Educational Research Journal (AERJ),United Kingdom,"Pedagogical & Educational Research, Psychology",2
441139,1025,Heythrop Journal,United Kingdom,"Philosophy, Religious Studies and Theology",2
342752,952,British Journal of Religious Education,United Kingdom,"Pedagogical & Educational Research, Religious Studies and Theology",2
474761,243,"Art, Design & Communication in Higher Education",United Kingdom,"Art and Art History, Pedagogical & Educational Research",2
486842,275,International Journal of Technology Management & Sustainable Development,United Kingdom,"Business and Management, Environmental Studies, Interdisciplinary research in the Social Sciences, Science and Technology Studies",4
445165,179,New Cinemas: Journal of Contemporary Film,United Kingdom,"Cultural Studies, Film and Theatre Studies",2
447003,705,Social Movement Studies,United Kingdom,"Cultural Studies, Political Sciences and International Relations, Sociology",3
477777,320,Studies in Christian Ethics,United Kingdom,Religious Studies and Theology,1
475654,990,Social & Personality Psychology Compass,United Kingdom,Psychology,1
444298,1492,Language Sciences,United Kingdom,Linguistics,1
440846,1681,"Gender, Place & Culture: A Journal of Feminist Geography",United Kingdom,Gender Studies,1
446899,885,"Sex Education : Sexuality, Society and Learning",United Kingdom,Pedagogical & Educational Research,1
477380,65,Journal of Psychosocial Studies,United Kingdom,"Sociology, Psychology, Interdisciplinary research in the Social Sciences",3
446897,621,Seventeenth century,United Kingdom,"Literature, History",2
443138,288,Journal of Interactive Media in Education,United Kingdom,"Library and Information Science, Media Studies and Communication",2
477286,538,International Journal of Research & Method in Education,United Kingdom,Pedagogical & Educational Research,1
443509,3674,Journal of Personality,"United Kingdom, United States",Psychology,1
504676,48,"Swiss Yearbook of Administrative Sciences/Jahrbuch Der Schweizerischen Verwaltungswissenschaften,",United Kingdom,"Library and Information Science, Business and Management, Science and Technology Studies",3
440364,662,Ethnography,United Kingdom,Anthropology,1
446421,834,Research Evaluation,United Kingdom,Library and Information Science,1
447295,635,Supplementary volume - Aristotelian Society,United Kingdom,"History, History & Philosophy of Science, Interdisciplinary research in the Humanities, Philosophy",4
343375,2543,Journal of Common Market Studies,United Kingdom,"Business and Management, Economics, Political Sciences and International Relations",3
503206,26,ARENA Journal of Architectural Research (AJAR),United Kingdom,Art and Art History,1
488447,795,Glossa: a journal of general linguistics,United Kingdom,Linguistics,1
440092,1061,Educational Management Administration & Leadership,United Kingdom,"Business and Management, Pedagogical & Educational Research",2
481249,1208,Literature Compass,United Kingdom,Literature,1
442014,3241,International Journal of Science Education,United Kingdom,Pedagogical & Educational Research,1
444287,1056,Language and Education,United Kingdom,"Linguistics, Psychology, Pedagogical & Educational Research",3
442786,1129,Journal of economic surveys,United Kingdom,"Economics, Interdisciplinary research in the Social Sciences",2
443720,595,Journal of Semitic Studies,United Kingdom,"Cultural Studies, History, Linguistics, Literature",4
444850,1121,Mind & Language,United Kingdom,"Linguistics, Psychology, Philosophy",3
443250,1184,Journal of Managerial Psychology,United Kingdom,"Business and Management, Psychology",2
499239,25,Indian Theatre Journal,United Kingdom,"Cultural Studies, Film and Theatre Studies",2
486736,261,International Journal of Philosophy and Theology,United Kingdom,Religious Studies and Theology,1
485320,134,Journal of Skyscape Archaeology,United Kingdom,"Anthropology, Archaeology, History, History & Philosophy of Science, Interdisciplinary research in the Humanities, Religious Studies and Theology",6
486462,14,Mediation Theory and Practice,United Kingdom,"Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences, Law, Linguistics, Media Studies and Communication, Psychology, Sociology",7
478281,300,"Communication & Medicine. An Interdisciplinary Journal of Healthcare, Ethics and Society",United Kingdom,Linguistics,1
443192,1125,Journal of Latin American Studies,United Kingdom,"Literature, History",2
438175,818,"Assessment in education: Principles, Policy & Practice",United Kingdom,Pedagogical & Educational Research,1
497286,98,Hunter-Gatherer Research,United Kingdom,Archaeology,1
439862,2343,Developmental Science,United Kingdom,Psychology,1
497575,55,Journal of Language and Discrimination,United Kingdom,"Anthropology, Gender Studies, Cultural Studies, Media Studies and Communication, Sociology, Linguistics, Psychology, Interdisciplinary research in the Social Sciences",8
445901,1035,Policing: An International Journal of Police Strategies & Management,United Kingdom,"Law, Sociology, Interdisciplinary research in the Social Sciences",3
485083,251,Laboratory Phonology,United Kingdom,Linguistics,1
481586,322,Irish Theological Quarterly,United Kingdom,Religious Studies and Theology,1
442177,105,Irish University Review,United Kingdom,Literature,1
343536,4457,Behavioral Ecology,United Kingdom,Psychology,1
443500,3450,Journal of Pediatric Psychology,United Kingdom,Psychology,1
446484,2458,The Review of financial studies,United Kingdom,"Business and Management, Economics",2
446988,1171,Soccer and Society,United Kingdom,"History, Sociology, Interdisciplinary research in the Social Sciences",3
445149,1477,Neuropsychological Rehabilitation,United Kingdom,Psychology,1
502081,7,Review of Irish Studies in Europe,United Kingdom,"Archaeology, Art and Art History, Gender Studies, History, Cultural Studies, Media Studies and Communication, Film and Theatre Studies, Political Sciences and International Relations, Sociology, Human Geography and Urban Studies, Linguistics, Literature, Musicology, Pedagogical & Educational Research, Philosophy, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",17
441198,652,History & Technology,United Kingdom,"History & Philosophy of Science, Art and Art History, History",3
342677,1217,European Journal of Communication,United Kingdom,Media Studies and Communication,1
442570,1615,Journal of Child Language,United Kingdom,"Psychology, Linguistics",2
482521,248,History of Education Review,United Kingdom,Pedagogical & Educational Research,1
340810,331,Nomadic Peoples,United Kingdom,Anthropology,1
487588,143,CounterText,United Kingdom,Literature,1
447707,413,The World Bank Research Observer,United Kingdom,"Business and Management, Economics",2
474915,209,Portuguese Journal of Social Science,United Kingdom,"Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",2
446315,195,The Radio Journal: International Studies in Broadcast & Audio Media,United Kingdom,Media Studies and Communication,1
441181,2600,The Historical Journal,United Kingdom,History,1
441197,1204,History: The Journal of the Historical Association,United Kingdom,History,1
478699,429,Chinese Journal of Communication,United Kingdom,Media Studies and Communication,1
488772,49,Journal of Media Critiques,United Kingdom,"Cultural Studies, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences, Media Studies and Communication, Political Sciences and International Relations, Social Statistics and Informatics",6
448172,477,Women's Writing,United Kingdom,"Gender Studies, Literature",2
447257,660,Studies in Continuing Education,United Kingdom,Pedagogical & Educational Research,1
442927,1976,Journal of Field Archaeology,United Kingdom,Archaeology,1
428647,1912,British Educational Research Journal (BERJ),United Kingdom,"Pedagogical & Educational Research, Psychology",2
340841,1332,Leisure Studies,United Kingdom,"Business and Management, Human Geography and Urban Studies",2
446201,1241,"Psychology, Crime and Law",United Kingdom,Psychology,1
442448,287,Journal of Architectural Conservation,United Kingdom,Art and Art History,1
499180,25,Continuity in Education,United Kingdom,Pedagogical & Educational Research,1
468545,137,"International Journal of Historical Learning, Teaching and Research (IJHLTR)",United Kingdom,"Pedagogical & Educational Research, History",2
478829,40,Medieval Sermon Studies,United Kingdom,History,1
437681,811,Ancient Mesoamerica,United Kingdom,Archaeology,1
449208,1507,Accounting and Business Research,United Kingdom,Business and Management,1
439458,451,Conservation and Management of Archaeological Sites,United Kingdom,Archaeology,1
343220,885,The European Journal of Women's Studies,United Kingdom,Gender Studies,1
440191,2283,ELT Journal,United Kingdom,"Linguistics, Pedagogical & Educational Research",2
441827,1391,International Journal of Educational Management,United Kingdom,Pedagogical & Educational Research,1
498987,1269,"Accounting, Auditing and Accountability Journal",United Kingdom,"Business and Management, Economics",2
483212,207,Brontë Studies,United Kingdom,Literature,1
470864,499,Journal of Applied Non-Classical Logics (JANCL),United Kingdom,"Philosophy, History & Philosophy of Science",2
478841,149,Library and Information History,United Kingdom,History,1
340618,1383,Cultural Studies,United Kingdom,"Cultural Studies, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",3
341743,3138,Journal of Adolescence,United Kingdom,Psychology,1
340264,2233,West European Politics,United Kingdom,Political Sciences and International Relations,1
443796,1388,Journal of Strategic Studies,United Kingdom,History,1
341882,12718,Behavioral and Brain Sciences,United Kingdom,"Linguistics, Psychology",2
474481,167,International Journal of Humanities and Arts Computing: A Journal of Digital Humanities,United Kingdom,"History, Interdisciplinary research in the Humanities",2
489563,220,International Journal of Health Governance,United Kingdom,Interdisciplinary research in the Social Sciences,1
489169,85,ASIANetwork Exchange: A Journal for Asian Studies in the Liberal Arts,United Kingdom,"Art and Art History, Linguistics, Literature, Interdisciplinary research in the Humanities",4
442088,1278,International Political Science Review,United Kingdom,"Political Sciences and International Relations, Sociology",2
478602,863,Journal of Cognitive Psychology,United Kingdom,Psychology,1
503327,26,Marvell Studies,United Kingdom,Literature,1
469340,406,Journal of Global History,United Kingdom,History,1
441945,2364,International Journal of Neuropsychopharmacology,United Kingdom,Psychology,1
438213,810,Attachment & Human Development,United Kingdom,Psychology,1
479924,337,Vernacular Architecture,United Kingdom,Art and Art History,1
443929,1324,Journal of the history of medicine and allied sciences,United Kingdom,History & Philosophy of Science,1
483214,546,Contemporary Theatre Review,United Kingdom,Literature,1
480626,30,Journal of Cognitive Historiography,United Kingdom,"Anthropology, Archaeology, Art and Art History, Classical Studies, Cultural Studies, Gender Studies, History, History & Philosophy of Science, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences, Linguistics, Literature, Philosophy, Psychology, Religious Studies and Theology, Sociology",16
485294,68,Language and Sociocultural Theory,United Kingdom,"Pedagogical & Educational Research, Psychology, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences, Linguistics, Sociology",6
485167,55,Journal of Islamic Archaeology,United Kingdom,"Archaeology, Religious Studies and Theology",2
440432,510,European Journal of English Studies (EJES),United Kingdom,Literature,1
342588,3306,Journal of Health Psychology,United Kingdom,Psychology,1
443738,373,Journal of Social Archaeology,United Kingdom,Archaeology,1
343044,1443,Comparative Education,United Kingdom,Pedagogical & Educational Research,1
442451,585,Journal of Architecture,United Kingdom,Art and Art History,1
451200,527,Journal of Financial Econometrics,United Kingdom,"Business and Management, Economics",2
441829,2087,International Journal of Electrical Engineering Education,United Kingdom,Pedagogical & Educational Research,1
441861,2543,International journal of group psychotherapy,United Kingdom,Psychology,1
474912,218,Journal of Organisational Transformation & Social Change,United Kingdom,"Interdisciplinary research in the Social Sciences, Social Statistics and Informatics",2
437779,2848,Annals of Human Biology,United Kingdom,Anthropology,1
477746,211,Implicit Religion,United Kingdom,Religious Studies and Theology,1
441991,2276,International Journal of Psychoanalysis,United Kingdom,Psychology,1
442780,927,Journal of Economic Geography,United Kingdom,"Economics, Environmental Studies, Human Geography and Urban Studies",3
474898,509,Hispanic Research Journal,United Kingdom,Literature,1
444836,750,Midwest Studies In Philosophy,United Kingdom,"History & Philosophy of Science, Philosophy",2
474642,182,Eighteenth-Century Music,United Kingdom,"History, Musicology",2
471643,297,Twentieth-Century Music,United Kingdom,Musicology,1
478848,80,Clothing Cultures,United Kingdom,"Cultural Studies, Interdisciplinary research in the Humanities",2
451212,407,Multinational Business Review,United Kingdom,Business and Management,1
