,EP_id,Publications_in_venue,OC_omid,issn,Open Access
130,340705,6224,06304115,"['0003-598X', '1745-1744']",Unknown
147,340856,6210,0622019292,['0022-3956'],Unknown
1373,442447,6147,062047876,['0305-4403'],Unknown
205,341346,6139,068069081,"['1534-7796', '0033-3174']",Unknown
432,343412,6107,065048299,"['1469-8986', '0048-5772']",Unknown
285,342000,6079,0612031572,"['1432-0762', '0340-5443']",Unknown
655,437606,6052,0623054829,"['1939-8298', '0002-9556']",Unknown
1759,444721,6049,0624023089,"['0142-159X', '1466-187X']",Unknown
1917,445818,6010,062507979,"['0031-921X', '1943-4928']",Unknown
104,340538,5990,06605663,['0010-9452'],Unknown
78,340353,5956,0622019323,"['1940-1019', '0022-3980']",Unknown
1663,444137,5948,066031348,"['1758-535X', '1079-5006']",Unknown
28,339958,5945,0616031735,"['1540-6261', '0022-1082']",Unknown
1613,443779,5939,0623062916,"['1092-4388', '1558-9102']",Unknown
486,413929,5931,061028154,"['1552-6518', '0886-2605']",Unknown
169,341056,5890,0624049290,['0145-2134'],Unknown
390,343080,5818,068010724,['0005-7967'],Unknown
103,340523,5798,0617051560,"['1939-8271', '0003-1224']",Unknown
1527,443256,5789,064064663,"['1547-7185', '0022-2429']",Unknown
1395,442611,5765,061302092741,['1555-2101'],Unknown
1619,443823,5742,06802830,"['0022-4812', '1943-5886']",Unknown
1429,442778,5739,0624030200,['0167-2681'],Unknown
1591,443707,5695,067055362,"['1746-1561', '0022-4391']",Unknown
356,342753,5690,0621066071,"['1097-0193', '1065-9471']",True
613,437111,5668,0613010252,"['0001-4273', '1948-0989']",Unknown
100,340509,5625,061021268,"['0002-9300', '2161-7953']",Unknown
653,437589,5543,0611018477,"['0002-9432', '1939-0025']",Unknown
208,341380,5402,061401342,"['1058-8388', '1097-0177']",Unknown
1951,446189,5385,0621032882,"['1939-1455', '0033-2909']",Unknown
93,340462,5369,0626030860,['0149-7634'],Unknown
1534,443302,5362,066010032,"['1473-4257', '0306-6800']",Unknown
1870,445582,5352,06205416,"['1540-6210', '0033-3352']",Unknown
1446,442806,5337,062105524,"['0022-0671', '1940-0675']",Unknown
164,341027,5256,061307329,"['0303-8300', '1573-0921']",Unknown
115,340610,5247,061801255,"['1468-4233', '0301-0066']",Unknown
47,340107,5242,0617038460,"['0360-0025', '1573-2762']",Unknown
253,341779,5205,069027326,"['1469-7610', '0021-9630']",Unknown
1817,445118,5203,062402893,['0893-6080'],Unknown
422,343328,5133,068015336,"['1745-1701', '0586-7614']",Unknown
418,343298,5117,061706972,['0264-9993'],Unknown
290,342082,5074,0619026276,"['0031-8116', '1573-0883']",Unknown
57,340169,5063,0621019353,['0001-6918'],True
321,342357,5057,0617018303,['0378-3782'],Unknown
1881,445664,5050,0614024915,"['1552-7433', '0146-1672']",Unknown
49,340125,5046,0613010044,"['1360-0451', '0954-0121']",Unknown
6,339775,5039,065050538,"['1467-9280', '0956-7976']",Unknown
647,437536,5017,069042315,"['0002-7316', '2325-5064']",Unknown
1458,442903,5000,0614023745,['0022-0965'],Unknown
175,341098,4975,064064783,"['1741-3737', '0022-2445']",Unknown
18,339904,4967,062105337,['0022-0531'],Unknown
566,430165,4944,062108471,['0010-0277'],Unknown
1969,446216,4909,06205299,['0033-3182'],Unknown
387,343037,4878,0617018112,['0378-2166'],Unknown
603,436387,4874,061901364,"['0030-8129', '1938-1530']",Unknown
890,439424,4841,064014196,['0360-1315'],Unknown
564,430156,4838,0611030801,"['0090-502X', '1532-5946']",Unknown
298,342145,4783,068010595,"['1573-2800', '0004-0002']",Unknown
73,340312,4750,06302658,['0167-8760'],Unknown
774,438613,4744,0613057039,['0387-7604'],Unknown
1206,441239,4737,0617015310,['0018-506X'],Unknown
1367,442434,4672,06601653,"['1559-1816', '0021-9029']",Unknown
344,342624,4668,0625059666,['0014-2921'],Unknown
3219,477763,4648,066048602,['2158-2440'],True
62,340222,4622,0622032113,"['1939-1846', '0021-843X']",Unknown
326,342475,4621,0626038220,"['1098-108X', '0276-3478']",Unknown
1629,443916,4617,0614022045,"['0022-5002', '1938-3711']",Unknown
1827,445221,4613,0612016315,"['1469-994X', '1462-2203']",Unknown
22,339932,4605,06404512,['0003-6870'],Unknown
1418,442713,4594,0623035277,"['0022-0167', '1939-2168']",Unknown
2534,470217,4572,0622050842,['0376-6357'],Unknown
1488,443050,4564,0613023321,"['0022-1546', '1538-4640']",Unknown
197,341274,4541,0615063879,['0093-934X'],Unknown
1968,446213,4499,0616051809,"['1057-9249', '1099-1611']",Unknown
1954,446192,4493,0622031969,"['0033-295X', '1939-1471']",Unknown
229,341575,4458,065048354,"['0048-5829', '1573-7101']",Unknown
444,343536,4457,0614020480,"['1045-2249', '1465-7279']",Unknown
2,339732,4456,0611018616,"['0096-1523', '1939-1277']",Unknown
186,341163,4447,0624051678,['0261-5177'],Unknown
1959,446204,4408,0621028179,"['1520-6807', '0033-3085']",Unknown
1330,442185,4349,0612041165,"['1545-6994', '0021-1753']",Unknown
2160,447289,4347,0613023220,"['1532-2491', '1082-6084']",Unknown
571,432302,4338,0621018248,"['1468-2508', '0022-3816']",Unknown
544,425568,4324,0621032673,"['1471-0048', '1471-003X']",Unknown
101,340510,4300,0622019123,"['0022-3891', '1532-7752']",Unknown
1907,445748,4289,061047646,"['1539-767X', '0031-8248']",Unknown
581,434430,4264,0617035439,['0047-2484'],Unknown
974,440005,4251,0623015315,"['0300-4430', '1476-8275']",Unknown
19,339906,4248,069031500,"['1945-5755', '0033-8222']",Unknown
123,340670,4246,061023558,['0047-2727'],Unknown
372,342897,4238,067027316,"['1741-282X', '0018-7267']",Unknown
1775,444849,4197,069043951,"['1460-2113', '0026-4423']",Unknown
1285,441925,4197,0623024295,"['0020-739X', '1464-5211']",Unknown
114,340596,4180,0611018551,"['1939-0084', '0735-7044']",Unknown
1208,441263,4163,0617015417,"['1547-8181', '0018-7208']",Unknown
163,341018,4154,0611018632,"['0278-7393', '1939-1285']",Unknown
76,340337,4146,0615018044,['0891-4222'],Unknown
1311,442090,4142,069027571,"['1041-6102', '1741-203X']",Unknown
2078,446791,4130,062108395,"['0036-8326', '1098-237X']",Unknown
614,437112,4074,0618016611,"['1930-3807', '0363-7425']",Unknown
1461,442908,4068,0616031698,['0022-1031'],Unknown
314,342283,4033,062034640,['0024-3841'],Unknown
1237,441570,4024,06804383,['0019-8501'],Unknown
2687,471783,4015,0612037003,"['1554-351X', '1554-3528']",Unknown
2171,447380,4011,065017321,"['1467-9620', '0161-4681']",Unknown
1479,442987,3983,0614012386,"['0022-1309', '1940-0888']",Unknown
1625,443871,3981,0622011352,"['1941-2460', '0003-0651']",Unknown
985,440058,3957,0625032999,"['0013-0117', '1468-0289']",Unknown
1972,446228,3914,06305610,"['0033-362X', '1537-5331']",Unknown
1967,446212,3906,06805445,"['1069-9384', '1531-5320']",Unknown
237,341605,3902,068020112,"['0047-2891', '1573-6601']",Unknown
852,439116,3889,0626033882,"['0009-8388', '1471-6844']",Unknown
284,341994,3888,063035104,['0016-3287'],Unknown
1235,441561,3873,06804263,"['2162-271X', '0019-7939']",Unknown
131,340707,3872,0614018005,"['1538-4780', '0022-2194']",Unknown
194,341263,3867,06505612,"['0033-5894', '1096-0287']",Unknown
129,340694,3860,064010392,['0048-7333'],Unknown
504,418107,3849,061034121,"['0011-3204', '1537-5382']",Unknown
108,340553,3824,061502803,['0305-0483'],Unknown
560,429124,3813,0621013608,['0742-051X'],Unknown
1398,442621,3801,0619020420,"['1530-8898', '0898-929X']",Unknown
409,343251,3796,0614044004,['0301-0511'],Unknown
761,438358,3789,0618029949,"['1568-539X', '0005-7959']",Unknown
846,439100,3781,067018861,['0264-2751'],Unknown
92,340461,3740,062011759,"['1460-2229', '0263-2136']",Unknown
1261,441763,3737,0626049971,"['1499-2027', '1708-8186']",Unknown
365,342838,3736,0619023463,['0959-4388'],Unknown
1500,443130,3729,0613021319,"['0964-2633', '1365-2788']",Unknown
1564,443531,3712,061407973,['0022-362X'],Unknown
1361,442406,3702,063018819,"['1938-3703', '0021-8855']",Unknown
1572,443625,3687,0618019582,"['0269-8811', '1461-7285']",Unknown
39,340048,3676,068067660,"['1098-2736', '0022-4308']",Unknown
1561,443509,3674,061308872,"['1467-6494', '0022-3506']",Unknown
241,341650,3657,0614026277,['0740-5472'],Unknown
65,340243,3643,0612023249,"['0179-1613', '1439-0310']",Unknown
81,340375,3627,0613045151,['0160-7383'],Unknown
2103,446990,3616,0615046285,['0301-2212'],Unknown
188,341185,3605,063017463,"['1098-2302', '0012-1630']",Unknown
2144,447256,3605,062040288,"['0039-3630', '2047-0584']",Unknown
335,342534,3603,0619022136,"['1468-2346', '0020-5850']",Unknown
125,340676,3599,06707128,"['0958-5192', '1466-4399']",Unknown
138,340772,3598,061020044,"['0021-8782', '1469-7580']",Unknown
939,439794,3579,06302734,['0167-9236'],Unknown
296,342135,3508,0622029305,['0278-2626'],Unknown
1559,443500,3450,0614020502,"['0146-8693', '1465-735X']",Unknown
1685,444282,3448,0626051136,['0097-8507'],Unknown
720,438035,3447,0624039389,"['0887-6177', '1873-5843']",Unknown
451,343614,3438,061013294,"['1467-937X', '0034-6527']",Unknown
124,340672,3434,0611021306,"['1042-0533', '1520-6300']",Unknown
1161,441084,3412,0617012836,"['0278-6133', '1930-7810']",Unknown
759,438351,3403,0617031074,['0005-7894'],Unknown
7551,499287,3398,061205447,['2075-4426'],True
35,340025,3389,0619023565,['0007-070X'],Unknown
464,343702,3388,0613036571,"['0018-1560', '1573-174X']",Unknown
1653,444095,3385,061051153,['0001-8791'],Unknown
975,440006,3380,065027981,"['1082-3301', '1573-3475', '1573-1707', '0882-3391', '0161-570X', '1058-0476', '0092-4199']",Unknown
4430,485158,3379,0626050004,['2352-409X'],Unknown
1139,440955,3375,0612046981,"['1423-0003', '0304-324X']",Unknown
2220,447612,3369,0614012588,"['1940-0896', '0022-1325']",Unknown
484,413785,3367,0613047722,['0304-3878'],Unknown
460,343675,3363,0621010005,"['1477-0911', '0959-6836']",Unknown
502,417686,3363,0621028223,"['0033-3123', '1860-0980']",Unknown
1740,444481,3334,0625021448,['0024-6301'],Unknown
1665,444139,3334,062105298,"['0022-0507', '1471-6372']",Unknown
421,343310,3318,06608490,"['1468-0335', '0013-0427']",Unknown
111,340584,3311,061807402,"['0141-9870', '1466-4356']",Unknown
1664,444138,3310,066031370,"['1079-5014', '1758-5368']",Unknown
2115,447037,3309,062015419,"['1467-954X', '0038-0261']",Unknown
340,342588,3306,0615027197,"['1359-1053', '1461-7277']",Unknown
1604,443742,3285,06402851,"['1540-4560', '0022-4537']",Unknown
1083,440547,3279,061902859,"['0014-4029', '2163-5560']",Unknown
2207,447561,3268,0612011876,"['1552-146X', '0093-0334']",Unknown
665,437666,3263,0619053273,"['1467-8284', '0003-2638']",Unknown
1276,441873,3257,0623031944,['0278-4319'],Unknown
639,437450,3248,063022586,"['1360-7863', '1364-6915']",Unknown
730,438112,3247,0621064730,['0004-3702'],Unknown
1297,442014,3241,0614014078,"['0950-0693', '1464-5289']",Unknown
570,432030,3234,067015740,"['0736-5748', '1873-474X']",Unknown
330,342509,3226,0611063330,"['0143-6597', '1360-2241']",Unknown
224,341534,3215,061064077,"['0070-3370', '1533-7790']",Unknown
334,342528,3209,061805945,"['1743-9140', '0022-0388']",Unknown
233,341588,3203,0622048642,['0196-206X'],Unknown
1504,443144,3200,0613018500,"['1530-9169', '0022-1953']",Unknown
287,342049,3196,065029479,['0899-8256'],Unknown
395,343121,3196,0622032081,"['0033-3204', '1939-1536']",Unknown
232,341581,3191,0614037942,"['0340-0727', '1430-2772', '0033-3026']",Unknown
1454,442882,3180,062405665,"['1469-9451', '1369-183X']",Unknown
1020,440248,3172,065020227,"['1477-4534', '0013-8266']",Unknown
650,437559,3167,0615035704,"['0002-9114', '1939-828X']",Unknown
60,340201,3163,06205349,"['0033-3190', '1423-0348']",Unknown
1403,442645,3161,061058479,"['0090-4392', '1520-6629']",Unknown
1402,442636,3152,0614011322,"['1460-2466', '0021-9916']",Unknown
2214,447584,3150,06301219,"['1747-7379', '0197-9183']",Unknown
112,340591,3148,062409673,"['0143-2095', '1097-0266']",Unknown
2259,447883,3144,0622036161,['1361-9209'],Unknown
1906,445745,3139,06206795,"['1933-1592', '0031-8205']",Unknown
251,341743,3138,0615016859,"['1095-9254', '0140-1971']",Unknown
465,343705,3130,0619035423,"['2163-3452', '0033-2933']",Unknown
1541,443355,3130,065056513,['0304-3932'],Unknown
1227,441407,3117,063031353,"['0018-9359', '1557-9638']",Unknown
2221,447629,3109,067065581,"['1540-4781', '0026-7902']",Unknown
264,341840,3097,0621036039,"['1467-9450', '0036-5564']",Unknown
587,435268,3093,06301367,"['0091-0627', '1573-2835']",Unknown
2020,446479,3091,061013436,"['1935-1046', '0034-6543']",Unknown
680,437780,3085,066036248,"['0003-4800', '1469-1809']",Unknown
189,341197,3078,06701203,"['1752-0401', '0021-9118']",Unknown
1818,445121,3043,0626040065,['1074-7427'],Unknown
2175,447387,3037,062043157,"['1532-8023', '0098-6283']",Unknown
495,416429,3035,062015527,"['0038-0385', '1469-8684']",Unknown
836,439029,3030,061603158,"['0305-1862', '1365-2214']",Unknown
293,342121,3028,062058883,"['0163-9641', '1097-0355', '0738-0151', '1573-2797', '0041-0608']",Unknown
263,341835,3027,064059762,"['0270-1367', '2168-3824']",Unknown
126,340678,3026,0611022768,"['1464-3502', '0735-0414']",Unknown
1943,446095,3019,0612016199,"['0735-7028', '1939-1323']",Unknown
218,341461,3015,0622017467,"['2044-8279', '0007-0998']",Unknown
793,438664,3009,0616053156,"['1468-263X', '0045-3102']",Unknown
782,438646,3001,0622017543,"['1467-8535', '0007-1013']",Unknown
2127,447131,2998,061202489,"['2040-8072', '0038-7134']",Unknown
510,418707,2996,066064131,"['1464-3553', '0379-864X']",Unknown
546,425901,2986,0621018061,['0163-6383'],Unknown
63,340223,2967,0618029920,['0005-7916'],Unknown
289,342075,2956,0623032181,['1053-8100'],Unknown
540,425325,2937,069069330,"['1950-6694', '0035-2764']",Unknown
362,342828,2937,061604715,"['0046-2772', '1099-0992']",Unknown
7,339791,2930,0614023801,"['0022-0973', '1940-0683']",Unknown
327,342482,2922,0613024607,"['1018-8827', '1435-165X']",Unknown
792,438662,2915,069014774,"['2044-8295', '0007-1269']",Unknown
59,340185,2914,0616041638,"['1795-990X', '0355-3140']",True
1590,443701,2903,067031597,['0743-0167'],Unknown
242,341656,2884,0625024425,"['0170-8406', '1741-3044']",Unknown
553,427651,2869,0624051704,['0261-5606'],Unknown
1552,443431,2867,069027566,['1499-4046'],Unknown
135,340720,2865,0625039212,"['1747-0218', '1747-0226']",Unknown
1061,440454,2858,0617060860,['0309-0566'],Unknown
679,437779,2848,0615046375,"['1464-5033', '0301-4460']",True
1586,443692,2831,063013403,['0969-6989'],Unknown
1583,443687,2827,0626077770,['0092-6566'],Unknown
1493,443061,2817,067026039,"['1540-3602', '0091-8369']",Unknown
1957,446200,2815,062404077,"['1476-0835', '0007-1129', '2044-8341']",Unknown
180,341141,2812,0624011137,"['0894-9867', '1573-6598']",Unknown
82,340381,2808,0621034146,"['1423-0224', '0302-282X']",Unknown
1154,441040,2803,064031694,['0197-3975'],Unknown
794,438665,2787,0618010074,"['0007-1315', '1468-4446']",Unknown
1816,445116,2781,0616064909,"['0899-7667', '1530-888X']",Unknown
247,341687,2766,06301358,"['0091-0562', '1573-2770']",Unknown
1211,441270,2764,068037701,"['1938-3525', '0018-7259']",Unknown
1950,446188,2759,0612016215,"['1939-134X', '1040-3590']",Unknown
132,340714,2752,06402694,"['1559-8519', '0022-4499']",Unknown
412,343261,2752,067011434,['0306-9192'],Unknown
1032,440323,2740,06808240,"['1572-8420', '0165-0106']",Unknown
413,343271,2740,064052554,"['0032-4728', '1477-4747']",Unknown
480,413494,2726,0619020617,"['0888-4080', '1099-0720']",Unknown
215,341440,2720,06205379,"['1467-9299', '0033-3298']",Unknown
1468,442930,2720,0616031801,"['0022-1090', '1756-6916']",Unknown
1209,441268,2720,067057456,['0167-9457'],Unknown
342,342603,2719,061038822,"['1530-9282', '0024-094X']",Unknown
1956,446198,2715,0622032066,"['0882-7974', '1939-1498']",Unknown
1039,440357,2715,0626041703,"['1539-297X', '0014-1704']",Unknown
2460,468479,2712,068046228,"['1810-3057', '1727-9232']",Unknown
441,343485,2708,0622017424,"['0007-0955', '1464-3529']",Unknown
995,440094,2692,06708545,"['1469-5812', '0013-1857']",Unknown
576,433601,2689,0625027241,"['0032-3217', '1467-9248']",Unknown
1095,440611,2688,06201322,"['0197-6664', '1741-3729']",Unknown
2359,449310,2688,06708591,"['0013-189X', '1935-102X']",Unknown
565,430159,2680,064059747,"['1464-0600', '0269-9931']",Unknown
295,342134,2673,0618061247,"['1477-0288', '0309-1325']",Unknown
83,340384,2673,0621019662,"['1573-3297', '0001-8244']",Unknown
204,341341,2673,068035589,"['0094-0496', '1548-1425']",Unknown
698,437889,2673,06905206,"['0268-7038', '1464-5041']",Unknown
307,342192,2669,061051229,"['1750-0184', '0001-9720']",Unknown
1883,445666,2668,064035790,"['1744-6570', '0031-5826']",Unknown
427,343385,2666,0611071044,['0955-8810'],Unknown
2128,447132,2662,06608460,['0167-6393'],Unknown
44,340099,2662,06802898,"['0022-4871', '1552-7816']",Unknown
1273,441851,2662,0621066156,['0169-2070'],Unknown
1898,445735,2661,0618022456,"['1558-1470', '0031-8108']",Unknown
345,342675,2657,061501110,['1059-0560'],Unknown
2168,447356,2654,0626072861,['0346-251X'],Unknown
1462,442914,2650,061028110,"['1552-5481', '0192-513X']",Unknown
1288,441956,2649,06609998,"['0306-624X', '1552-6933']",Unknown
220,341517,2647,065030577,"['1540-6245', '0021-8529']",Unknown
406,343239,2642,069039210,"['1545-5300', '0014-7370']",Unknown
203,341332,2640,0622026639,"['1552-8766', '0022-0027']",Unknown
3,339733,2631,0616028523,"['1470-174X', '0307-5079']",Unknown
53,340152,2629,061108023,"['0965-4313', '1469-5944']",Unknown
1181,441181,2600,0614036648,"['0018-246X', '1469-5103']",Unknown
942,439813,2596,0622036209,"['1091-4269', '1520-6394']",Unknown
1411,442691,2593,0614059948,"['0093-5301', '1537-5277']",Unknown
844,439047,2591,0625016739,"['1468-2648', '0305-7410']",Unknown
1248,441700,2587,0619022209,"['0020-5893', '1471-6895']",Unknown
3509,481035,2587,0622047318,['2168-6149'],Unknown
987,440062,2582,069041060,"['1432-0479', '0938-2259']",Unknown
173,341082,2578,0622057784,"['1573-2819', '0147-5916']",Unknown
1386,442525,2578,067011271,"['1468-5957', '0306-686X']",Unknown
312,342261,2576,0624039420,['0887-6185'],Unknown
1294,441986,2568,0613029054,['0263-7863'],Unknown
1980,446266,2566,06305790,"['1573-7845', '0033-5177']",Unknown
3418,480174,2566,0611045964,['2227-7102'],True
2086,446883,2558,0624037945,"['1613-3692', '0037-1998']",Unknown
526,422802,2557,0625020043,['0149-7189'],Unknown
992,440090,2547,068027372,"['1521-0472', '0360-1277']",Unknown
99,340495,2546,061507325,"['1464-066X', '0020-7594']",Unknown
213,341413,2545,066064127,"['1380-3395', '1744-411X']",Unknown
2191,447467,2543,06209246,"['1097-9891', '0095-2990']",Unknown
1274,441861,2543,0615040813,"['0020-7284', '1943-2836']",Unknown
425,343375,2543,0614011280,"['1468-5965', '0021-9886']",Unknown
950,439856,2540,069025496,"['0954-5794', '1469-2198']",Unknown
2225,447662,2539,0619035313,"['0033-2828', '2167-4086']",Unknown
1929,445920,2527,0625027059,"['0032-3179', '1467-923X']",Unknown
1460,442907,2526,0623035324,"['1939-2222', '0096-3445']",Unknown
419,343300,2518,0624051639,['0261-3794'],Unknown
561,429687,2512,066033823,"['1420-8008', '1421-9824']",Unknown
244,341667,2511,065023860,['0967-070X'],Unknown
339,342578,2503,06201174,"['1355-6177', '1469-7661']",Unknown
905,439542,2485,061029384,"['1552-3861', '0011-0000']",Unknown
0,339705,2481,0612017785,"['1574-0862', '0169-5150']",Unknown
346,342676,2480,061054047,"['1552-5422', '0022-0221']",Unknown
1305,442058,2480,0618061215,"['0309-1317', '1468-2427']",Unknown
2299,448170,2477,065014703,['0277-5395'],Unknown
397,343172,2475,064064615,"['0022-2380', '1467-6486']",Unknown
2099,446970,2467,067031353,"['2325-7784', '0037-6779']",Unknown
234,341593,2467,061028076,"['1461-7315', '1461-4448']",Unknown
677,437751,2467,066036096,['0003-4487'],Unknown
712,437992,2465,0611029399,"['0003-813X', '1475-4754']",Unknown
338,342571,2462,061607523,"['0020-8183', '1531-5088']",Unknown
1624,443867,2462,068043618,"['2169-2289', '0003-0279']",Unknown
629,437285,2458,0626057199,"['0001-8392', '1930-3815']",Unknown
2021,446484,2458,0614020520,"['1465-7368', '0893-9454']",Unknown
2260,447885,2454,061025108,['1369-8478'],Unknown
1632,443927,2450,0614022130,['0022-5037'],Unknown
24,339943,2447,061202435,"['1476-8321', '0887-0446']",Unknown
37,340042,2444,068016686,"['1573-0913', '0921-898X']",Unknown
779,438637,2437,0619023617,"['0007-0882', '1464-3537']",Unknown
106,340540,2434,066062598,['0049-089X'],Unknown
1463,442918,2419,0611018648,"['0893-3200', '1939-1293']",Unknown
1420,442721,2418,0616038925,['0047-2352'],Unknown
341,342589,2415,069021533,"['0304-4130', '1475-6765']",Unknown
7444,498971,2414,066042093,"['1729-3774', '1729-4061']",True
2185,447433,2413,0622023922,"['0039-8322', '1545-7249']",Unknown
2138,447227,2408,062040195,"['1572-8730', '0039-3215']",Unknown
938,439793,2403,069053561,"['0011-7315', '1540-5915']",Unknown
183,341157,2399,0617035471,"['0047-2506', '1478-6990']",Unknown
473,412068,2398,0617014192,"['0144-929X', '1362-3001']",Unknown
1601,443737,2397,0613026371,"['1460-3608', '0265-4075']",Unknown
472,411958,2397,0619030979,"['0047-2875', '1552-6763']",Unknown
572,432451,2396,06803049,"['1469-1779', '0144-686X']",Unknown
1523,443241,2391,0624020515,"['0149-2063', '1557-1211']",Unknown
16,339888,2390,0624034532,"['0041-977X', '1474-0699']",Unknown
1848,445389,2390,061606250,"['1573-7608', '1360-2357']",Unknown
424,343368,2389,0619068635,"['0885-6222', '1099-1077']",Unknown
1343,442314,2375,064034244,"['1468-5906', '0021-8294']",Unknown
1287,441945,2364,0615022187,"['1469-5111', '1461-1457']",True
2194,447492,2356,0619067044,"['0004-3079', '1559-6478']",Unknown
953,439862,2343,0614019237,"['1467-7687', '1363-755X']",Unknown
3478,480736,2342,0623025610,"['0040-0599', '2163-5684']",Unknown
42,340079,2335,066044567,"['1465-3648', '0268-1153']",Unknown
2281,448049,2331,069033034,"['1552-8448', '1077-8012']",Unknown
1495,443071,2327,063052993,"['0022-166X', '1548-8004']",Unknown
1901,445739,2325,0619026323,"['0031-8191', '1469-817X']",Unknown
3022,475881,2322,0616027035,"['0017-8969', '1748-8176']",Unknown
1379,442484,2318,0613045176,"['1573-3521', '0160-7715']",Unknown
254,341783,2318,068035651,['0094-1190'],Unknown
524,422429,2314,067015454,"['1360-0508', '0968-7599']",Unknown
399,343183,2314,064043592,['0272-7757'],Unknown
2218,447601,2313,061019926,"['1945-2314', '0021-8723']",Unknown
1266,441807,2312,0619023550,['0959-6119'],Unknown
2371,450568,2307,0626039963,"['1074-0708', '2056-7405']",True
