ID,E_ISSN,P_ISSN,TITLE,URL,level,DH LEVEL,Iteration
70,1872-7409,0950-7051,Knowledge-Based Systems,https://www.sciencedirect.com/journal/knowledge-based-systems,3,Marginally,2
71,1749-818X,,Language and Linguistics Compass,https://onlinelibrary.wiley.com/journal/1749818x,3,Marginally,2
72,1461-7293,0963-9470,Language and Literature,https://journals.sagepub.com/home/lal,3,Marginally,2
73,1741-2021,1472-6696,Legal Information Management,https://www.cambridge.org/core/journals/legal-information-management,3,Marginally,2
74,1530-9282,0024-094X,Leonardo,https://www.mitpressjournals.org/loi/leon,3,Marginally,2
75,1531-4812,0961-1215,Leonardo Music Journal,https://www.mitpressjournals.org/loi/lmj,3,Marginally,2
76,2054-166X,0737-8831,Library Hi Tech,https://www.emerald.com/insight/publication/issn/0737-8831,3,Marginally,2
77,2159-9610,0024-2527,Library Resources and Technical Services,http://www.ala.org/alcts/resources/lrts,3,Marginally,2
78,1872-9185,0964-7775,Museum Management and Curatorship,https://www.tandfonline.com/action/journalInformation?journalCode=rmmc20,3,Marginally,2
79,1469-8110,1351-3249,Natural Language Engineering,https://www.cambridge.org/core/journals/natural-language-engineering,3,Marginally,2
80,1745-7939,0028-8144,New Zealand Geographer,https://onlinelibrary.wiley.com/journal/17457939a,3,Marginally,2
81,1469-8153,1355-7718,Organised Sound,https://www.cambridge.org/core/journals/organised-sound,3,Marginally,2
82,1757-1634,0305-1498,oxford literary review,https://www.euppublishing.com/loi/olr,3,Marginally,2
83,1938-1530,0030-8129,pmla-publications of the modern language association of america,https://www.mla.org/Publications/Journals/PMLA,3,Marginally,2
84,1804-0462,0032-6585,Prague Bulletin of Mathematical Linguistics,https://ufal.mff.cuni.cz/pbml,3,Marginally,2
85,1989-7553,1135-5948,Procesamiento de Lenguaje Natural,http://journal.sepln.org/sepln/ojs/ojs/index.php/pln,3,Marginally,2
86,1758-7689,0956-5698,Records Management Journal,https://www.emerald.com/insight/publication/issn/0956-5698,3,Marginally,2
87,1886-6298 ,1886-2438,Revista de Linguistica y Lenguas Aplicadas,https://polipapers.upv.es/index.php/rdlyla,3,Marginally,2
88,2254-6774,0213-2028,Revista Espanola de Linguistica Aplicada,https://benjamins.com/catalog/resla,3,Marginally,2
89,1958-5632,0035-1601;0991-9228,Revue de Musicologie,https://symetrie.com/fr/titres/revue-de-musicologie,3,Marginally,2
90,1923-0702,,Scholarly and Research Communication,https://www.calj-acrs.ca/journal/scholarly-and-research-communication,3,Marginally,2
91,1934-8118,0147-6882,Scientific and Technical Information Processing,https://link.springer.com/journal/11984,3,Marginally,2
92,1879-095X,0098-7913,Serials Review,https://www.tandfonline.com/action/journalInformation?journalCode=usrv20,3,Marginally,2
93,2327-9702,0360-9081,The American Archivist,https://americanarchivist.org/,3,Marginally,2
94,1477-9730,0031-868X,The Photogrammetric Record,https://onlinelibrary.wiley.com/journal/14779730,3,Marginally,2
95,1541-1095,0361-526X,The Serials Librarian,https://www.tandfonline.com/action/journalInformation?journalCode=wser20,3,Marginally,2
96,1467-968X,0079-1636,Transactions of the Philological Society,https://onlinelibrary.wiley.com/journal/1467968x,3,Marginally,2
97,1470-1553,1060-1503,Victorian Literature and Culture,https://www.cambridge.org/core/journals/victorian-literature-and-culture,3,Marginally,2
98,1712-526X,0709-4698,Victorian Periodicals Review,https://www.press.jhu.edu/journals/victorian-periodicals-review,3,Marginally,2
99,1751-3480,1751-3472,Journal of Mathematics and the Arts,https://www.tandfonline.com/action/journalInformation?journalCode=tmaa20,3,Marginally,2
100,,1065-075X,OCLC Systems & Services,https://www.emerald.com/insight/publication/issn/1065-075X,3,Marginally,2
101,1091-6490,0027-8424,PNAS,https://www.pnas.org,4,Mega-journal,1
102,1476-4687,0028-0836,Nature,https://www.nature.com,4,Mega-journal,1
103,1095-9203,0036-8075,Science,https://www.sciencemag.org,4,Mega-journal,1
104,1932-6203,,PLOS ONE,https://journals.plos.org/plosone/,4,Mega-journal,1
